,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
651,Metasequoia glyptostroboides,Dawn redwood,Tree,Full,"Loamy, well-drained",Acidic,,,Asia,,Cupressaceae
653,Dendrobium spp.,Dendrobium orchid,Perennial,Partial,Moist but well-drained,Acidic,"Spring, summer, fall","White, yellow, orange, green, pink, purple, brown",Asia,,Orchidaceae
654,Cedrus deodara,"Deodar Cedar, Himalayan Cedar",Evergreen coniferous tree,Full,"Loamy, moist, sandy, clay, well-drained",Acidic,,,Asia,,Pinaceae
141,Dasylirion wheeleri,"Desert spoon, sotol, common sotol, spoon yucca, spoon flower, blue sotol","Perennial, evergreen, shrub",Full,"Sandy, well-drained","Neutral, acidic","Spring, summer","Yellow, purplish-pink",North America,,Asparagaceae
658,Chilopsis linearis,Desert willow,Deciduous Shrub,Full sun,Dry to medium moisture,6.6-8.5,May to June,Dark pink,Southwestern United States and Mexico,,Bignoniaceae
660,"D. plumarius, D. superbus, D. deltoides","Dianthus flowers, pinks, garden pinks, cheddar pinks, clove pinks, gillyflower",Perennial,Full sun,Moist but well-drained,Neutral to acidic,"Spring, summer, fall","White, lilac, red, pink","Europe, Asia, Africa",Toxic to pets,Caryophyllaceae
664,"Strophocactus testudo, Selenicereus testudo","Dog Tail Cactus, Pitaya De Tortuga",Perennial succulent,"Full sun, partial sun","Sandy, rocky, well-drained","Neutral, acidic, alkaline",Summer,White,South America,,Cactaceae
663,Rosa canina,"Dog rose, briar rose, cankerberry","Shrub, rose",Full,"Moist, well-drained","Acidic, neutral, alkaline","Spring, summer","Pink, white","Europe, Africa, Asia",,Rosaceae
443,Sedum morganianum,"Donkey's tail, burro's tail, lamb's tail","Perennial, succulent","Full, partial","Loamy, sandy","Neutral, alkaline",Summer,"Red, white, yellow","Mexico, Honduras",,Crassulaceae
666,Viburnum plicatum f. tomentosum 'Mariesii',Doublefile viburnum,Deciduous shrub,"Full, partial","Loamy, Moist but Well-drained","Neutral, Acidic, Alkaline",Spring,White,"Far East: China, Japan, Korea, and Taiwan",,Adoxaceae
667,Clematis Dr. Ruppel,"Dr. Ruppel clematis, Doctor Ruppel clematis, Dr. Ruppel virgin's bower",Deciduous perennial flowering vine,Full sun to partial sun,"Fertile, well-drained, and kept evenly moist",Neutral,June,Pink,Several regions across both the Northern Hemisphere and Southern Hemisphere,,
670,Dracaena spp. (also Cordyline spp.),Dracaena; various species have different common names,Shrub,Partial,"Moist, well-drained",Acidic,,,"Asia, Africa, Australia",Toxic to dogs and cats,Asparagaceae
674,Hylocereus undatus,"Dragon fruit, pitahaya, strawberry pear, Honolulu queen, moonlight cactus","Cactus, perennial","Full sun, partial shade","Sandy, well-drained",Neutral to acidic,"Spring, summer, fall, winter",White,"Mexico, Central America, South America",,Cactaceae
671,Dracunculus vulgaris,"Dragon lily, Voodoo lily, Stink lily, Black lily, Snake lily",Perennial,Full sun to partial shade,"Rich, moist, well-draining",Neutral,"Late spring, early summer",Purple-black or deep maroon,"Algeria, Southeast Europe, Turkey",,
673,Dracaena draco,"Dragon tree, dragon's blood plant, drago, corn plant, ribbon plant",Broadleaf evergreen tree,Full sun to part shade,"Any well-drained, porous soil",6.0–6.5 (slightly acidic),Begins producing a single flower after 10–15 years,White,"The Canary Islands, northwest coastal Africa",Mildly toxic to pets (especially cats),Asparagaceae
1210,Echinacea pallida,"Drooping coneflower, pale purple coneflower",Perennial,Full,Well-drained,"Neutral to acidic, alkaline","Spring, summer","Pale pink, pale purple, white",North America,,
677,Duranta erecta,"Duranta plant, duranta, golden dewdrops, sky flower, pigeon berry",Tropical broadleaf evergreen shrub,Full,Rich loam; tolerates rocky soil,Acidic to slightly alkaline (5.6—7.5),Spring through frost,"Blue, violet, white",Central and South America,Leaves and berries are toxic to humans and pets,
678,Jacobaea maritima,"Dusty miller, silver dust, silver ragwort","Perennial, annual",Full,"Average, well-drained",Acidic,Summer,Yellow,Mediterranean,"Toxic to humans, toxic to pets",Asteraceae
679,Iris × hollandica,"Dutch iris, Dutch hybrid group, fleur de lis",Bulb,Full sun,"Well-drained, moist","Mildly acidic, neutral, mildly alkaline",Spring,"Most commonly blue, bluish-purple, white, yellow",Europe,,
681,Dicentra cucullaria,"Dutchman's breeches, Dutchman's britches, staggerweed","Herbaceous, perennial","Partial, full",Moist but well-drained,"Neutral, acidic",Spring,"White, pink",North America,"Toxic to humans, dogs, and cats",Fumariaceae
682,Aristolochia macrophylla,"Dutchman's pipe vine, pipe vine",Vine,"Full, partial","Moist, well-drained","Neutral, acidic",Summer,"Yellow, green, purple",North America,Toxic to people,"Aristolochiaceae, Birthwort"
684,Betula nana,Dwarf Birch,Deciduous shrub,Full sun to part sun,"Well-drained clay, loam, or sand","Acid, alkaline, neutral",Spring,Yellowish brown,"Alaska, northern Canada to Baffin Island, Labrador, and Greenland",,
686,Prunus glandulosa,Dwarf Flowering Almond,Shrub,Full,"Moist, well-drained loam",Neutral,Spring,Pink,Asia,Toxic to people,Rosaceae
39,Iris reticulata,"Dwarf Iris, Netted Iris, Reticulated Iris","Perennial, bulb","Full, Partial","Loamy, Sandy, Well-drained","Neutral, Alkaline",Spring,"Purple, Blue","Europe, Asia, Middle East","Toxic to people, toxic to pets",Iridaceae
700,Portulacaria afra,"Dwarf jade, elephant bush, miniature jade, small-leaf jade","Succulent evergreen shrub, houseplant","Full, partial","Cactus/succulent potting mix, or sandy, gravelly garden soil",Slightly acidic (5.6 to 6.5),Late spring to early summer (flowers are indistinct),"White, pink",South Africa,,Didiereaceae
395,Evolvulus glomeratus,"Dwarf morning glory, blue daze, Brazilian dwarf morning glory, evolvulus","Perennial, annual",Full,"Moist, well-drained","Acidic, neutral","Summer, fall",Blue,South America,,Convolvulaceae
687,Solanum lycopersicum ‘Early Girl’,Early Girl tomato,"Annual, Perennial",Full,"Loamy, moist but well-drained","Acidic, neutral","Spring, Summer, Fall",Yellow,Europe,Toxic to pets,
689,Lilium longiflorum,"Easter lily, trumpet lily, Bermuda lily","Perennial, bulb","Full, partial","Loamy, well-drained","Acidic, neutral",Summer,"White, pink",Asia,Toxic to cats,Liliaceae
690,Populus deltoides,Eastern Cottonwood,Deciduous tree,Full sun,"Average, Medium to Wet, Well-drained",Adaptable,March to April,"Green (Female), Red (Male)",Eastern and central North America,,Salicaceae
693,Pinus strobus,Eastern white pine,Tree,"Full, partial","Moist, well-drained",Acidic,,,North America,,Pinaceae
694,Echeveria spp.,Echeveria,Succulent,Full,Well-draining,Acidic,"Spring, summer","Pink, orange, white, yellow, red","Central America, North America, South America",,Crassulaceae
1267,Philodendron verrucosum,Ecuador Philodendron,Vine,Partial,"Loamy, Well-drained","Acidic, Neutral","Spring, Summer","Pink, White","South America, Central America","Toxic to pets, toxic to people",Araceae
696,Leontopodium alpinum,Edelweiss,Perennial,Full to partial sun,"Well-drained, gritty soil",Neutral,Late spring through summer,White,Steppe region of Asia,,Asteraceae
698,Pentas lanceolata,Egyptian Star Cluster,Perennial,Full sun to partial shade,Fertile with good drainage,Mildly acidic,Summer,"Red, pink, lavender, or white",Africa,,
699,Inula helenium,"Elecampane, horse heal, elfdock",Perennial herb,Full sun to part shade,Any well-drained soil,6.5–7.5 (neutral),Summer to fall,Yellow,Eurasia; naturalized in North America,,
569,Alocasia,Elephant Ear ‘Regal Shield’,Perennial,"Full, Partial","Loamy, Moist but Well-drained","Acidic, Neutral","Spring, Summer","White, Green",Africa,"Toxic to pets, toxic to people",Araceae
224,"Colocasia, Alocasia, Xanthosoma spp.","Elephant ear, taro, coco yam",Tropical perennial,Full sun to part shade,Moist,Acidic (5.5 to 7.0),Late spring to early fall (rarely flowers),Yellowish-white,"Asia, Australia, Central America, South America, Africa",Toxic to pets and humans,Araceae
701,Xanthosoma spp.,"Elephant's ear, American Taro","Perennial, Herbaceous","Partial, Shade",Moist but Well-drained,"Acidic, Neutral",Summer,Greenish White,Central and South America,Toxic to people and pets,Araceae
704,Euonymus fortunei,"Emerald Gaiety Wintercreeper, Emerald Gaiety euonymus, wintercreeper euonymus",Shrub,"Full, partial",Moist but well-drained,Alkaline,Summer,"Green, white",China,,Celastraceae
705,Thuja occidentalis,"Emerald green arborvitae, Smaragd arborvitae, American arborvitae",Needled evergreen,"Full sun, partial shade",Moist but well-drained,"Acidic, alkaline",Does not bloom,Does not bloom,North America,"Toxic to people, toxic to cats, dogs, and pets",Cupressaceae
706,Paulownia tomentosa,"Empress Tree, Royal Paulownia, Foxglove Tree",Deciduous Tree,Full sun,Adaptable,Adaptable,April,Lavender,China,,
707,Hydrangea macrophylla Endless Summer,Endless Summer hydrangea,Shrub,Partial sun,"Loamy, moist, well-drained","Acidic, neutral, alkaline","Spring, summer","Pink, purple. blue, red, white","Cultivar, no native range","Toxic to people, toxic to dogs, cats, and horses",Hydrangeaceae
712,Ilex aquifolium,"English Holly, common holly, European holly",Evergreen Tree or shrub,Full sun to partial shade,Well-drained,Acidic to neutral,Summer,Blue/lilac shades,"Western and southern Europe, northwest Africa, and southwest Asia",Toxic to humans and pets,Aquifoliaceae
718,Juglans regia,English Walnut,Deciduous Tree,Full Sun,"moist, organically rich, well-drained",6.0-6.5,May to June,Yellow-Green,Europe to Central Asia,,Juglandaceae
708,Hyacinthoides non-scripta,"English bluebells, bluebells","Perennial, bulb",Partial,"Loamy, sandy, clay","Acidic, neutral, alkaline",Spring,"Blue, purple",Europe,"Toxic to humans, toxic to pets",Asparagaceae
709,Bellis perennis,"English daisy, common daisy, lawn daisy","Herbaceous perennial, but a biennial in the southern US and an annual in the northern US",Partial,"Loamy, moist","Acidic, neutral, alkaline","Spring, summer","Red, white, pink",Europe,,Asteraceae
711,Crataegus laevigata,"English hawthorn, smooth hawthorn","Shrub, tree",Full,"Well-drained, loamy","Acidic, neutral, alkaline","Spring, summer","White, pink, red","Europe, Africa",,Rosaceae
714,Hedera helix,"English ivy, common ivy, European ivy","Perennial, evergreen climbing vine",Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,Fall,"Greenish-white, greenish-yellow","Europe, Scandinavia, Russia",Toxic to people and pets,Araliaceae
585,Hedera helix,"English ivy, common ivy, European ivy","Perennial, evergreen climbing vine",Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,Fall,"Greenish-white, greenish-yellow","Europe, Scandinavia, Russia",Toxic to people and pets,Araliaceae
715,Lavandula angustifolia,"English lavender, true lavender, common lavender",Herbaceous flowering perennial,Full sun,"Sandy, gritty, dry to medium, well-drained",Neutral (6.7 to 7.3),Midsummer,"Dark or light purple is most common, but hybrid colors also available in lavender, violet-blue, white, and pink",Mediterranean,Toxic to animals,Lamiaceae (mint)
716,Quercus robur,"English oak, truffle oak, pedunculate oak",Tree,Full,"Loamy, moist, well-drained","Acidic, neutral, alkaline",Spring,Green,"Africa, Asia, Europe","Toxic to people, toxic to pets",Fagaceae
719,Dysphania ambrosioides,"Epazote, Jesuit's tea, Mexican tea, wormseed","Perennial, herb",Full,Well-drained,"Acidic, neutral, alkaline",,,"Central America, South America","Toxic to humans, toxic to pets",Amaranthaceae
1286,Epimedium,"Epimedium, barrenwort, bishop’s hat, fairy wings, horny goat weed","Perennial, groundcover","Partial, shade","Loamy, sandy, moist but well-drained","Acidic, neutral, alkaline",Spring,"Red, pink, orange, yellow, purple, white","Asia, Mediterranean",,Berberidaceae
257,"Yellow trout lily, yellow dogtooth violet, yellow adder's tongue",Erythronium americanum,Herbaceous perennial,"Partial, full shade","Moist, humusy, well-drained",Acidic (below 6.8),Spring,Yellow,Eastern North America,,Liliaceae
720,Artemisia dracunculus (Sativa subspecies),Estragon,Perennial herb,Part Sun/Part Shade,"Sandy, well-drained",Neutral (6.5 to 7.5),Summer,Light green leaves,Temperate Europe and Asia,,
721,Eucalyptus cinerea,"Eucalyptus, silver dollar tree, argyle apple",Tree,Full,Well-drained,"Acidic, neutral",Summer,"White, red",Australia,"Toxic to people, toxic to pets",Myrtaceae
722,Euphorbia spp.,"Euphorbia, spurge","Herbaceous, perennial, succulent",Full,"Sandy, well-drained","Neutral, acidic","Spring, summer","Yellow, red, pink, white","Africa, Asia, North America, South America","Toxic to humans, toxic to pets",Euphorbiaceae
723,Citrus x limon 'Eureka',"Eureka lemon tree, 'Garey's Eureka'",Evergreen tree,"Full sun, partial shade","Loamy, sandy, clay","Well-drained, moist",Spring,,California,Toxic to dogs and cats,Rutaceae
725,Fraxinus excelsior,"European Ash, Common Ash",Tree,Full Sun,"Moist, Well Drained, Loam",Adaptable,April to May,White,"Europe, Caucaus",,
727,Oenothera biennis,"Evening primrose, common evening primrose, fever plant, cure-all","Herbaceous, biennial","Full, partial",Moist but well-drained,"Neutral, acidic","Summer, fall",Yellow,North America,,Onagraceae
728,Calliandra eriophylla,"Fairy duster, false mesquite","Perennial, shrub",Full sun,"Sandy, well-drained",6.0 to 8.0,Spring,Pink,"California, Arizona, New Mexico, Texas and Mexico",,Fabaceae
729,Plerandra elegantissima,False aralia,Perennial,,,,,,,,
730,Chamaecyparis,False cypress tree,Evergreen,"Full, partial","Loamy, moist but well-drained","Acidic, neutral",Not Applicable,Not Applicable,"North America, Asia",,
731,Veratrum viride,"False hellebore, corn lily, itchweed",Herbaceous perennial,Full sun to partial shade,"Rich, well-draining",Acidic to alkaline,Summer,"White, yellow, green",United States and Canada,,
736,Heliopsis helianthoides,"False sunflower, oxeye sunflower","Herbaceous, perennial",Full,"Moist but well-drained, loamy","Acidic, neutral, alkaline",Summer,"Yellow, orange",North America,,Asteraceae
737,Scaevola aemula,"Fan flower, scaevola, fairy fan flower","Evergreen perennial/shrub, often grown as an annual","Full, partial","Average, well-drained",Acidic (5.5-6.0),Late spring to fall,"Blue, purple, white, pink",Australia,,Goodeniaceae
738,Fatsia japonica ‘Spider Web’,Fatsia Spider Web,Shrub,"Partial, shade","Loamy, moist but well-drained","Acidic, neutral",Fall,White,Asia,,Araliaceae
739,Vicia faba,"Fava bean, faba bean, broad bean","Annual, vegetable",Full to part sun,"Loamy, moist, well-drained","Acidic, neutral (6.2 to 6.8)","Spring, summer",,"Asia, Mediterranean",Toxic to people with favism,Fabaceae
741,Foeniculum vulgare,"Fennel, sweet fennel, common fennel","Perennial, herb",Full sun,"Moist, well-drained",Acidic (5.5–6.8),Summer,,Mediterranean,,Apiaceae
931,Filicium decipiens,Fern tree,Evergreen tree,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,Winter,White,"Africa, Asia",,
742,Ficus benghalensis,"Ficus Audrey, banyan tree, strangler fig",Tree,Partial,Moist but well-drained,Acidic,,,Asia,,Moraceae
743,Ficus elastica 'Tineke',"Ficus Tineke, Variegated rubber tree","Tree, Perennial",Partial sun,Well-drained,"Acidic, Neutral",Rarely blooms indoor,N/a,Asia,Toxic to pets,Moraceae
745,Ficus benjamina,"Ficus tree, ficus, weeping ficus, fig tree, and weeping fig",Perennial,Filtered bright sun,"Indoors rich and fast-draining, outdoors loamy and well-draining",6.5 to 7,"Indoor plants do not bloom, outdoor plants bloom during spring",Small yellow or white blossoms,India and Southeast Asia,Toxic to humans and pets,Moraceae
744,Ficus lyrata,"Fiddle-leaf fig, banjo fig",Broadleaf evergreen,Part shade,"Loamy, medium moisture, well-draining",6 to 7,Rarely flowers outside of its native area,Insignificant,Tropical western Africa,Toxic to cats and dogs,Moraceae
747,Hosta longipes f. hypoglauca X H. Crested Surf,Fire Island hosta,"Herbaceous, with a perennial life cycle",Partial shade,"Evenly moist and well-drained, with average fertility",Neutral to slightly acidic,Mid-summer,Lavender,Northeast Asia,"Toxic to dogs, cats, horses",Asparagaceae
565,Clivia miniata,"Fire lily, natal lily, bush lily, clivia",Perennial,Partial,Well-drained,"Acidic, neutral",Winter,"Orange, yellow, cream, pink",South Africa,Highly toxic in large quantities,Amaryllidaceae
748,Hamelia patens,"Firebush, scarlet bush",Herbaceous perennial,"Full sun, partial shade",Well-drained,Neutral to acidic,"Summer, fall","Orange, orange-red, red","Mexico, Central America, South America",,Rubiaceae
750,Nandina domestica 'Firepower',Firepower Nandina,Shrub,"Full, partial",Well-drained,Acidic,,,"Cultivar, no native range",Toxic to pets,Berberidaceae
752,Pyracantha coccinea,Firethorn,Shrub,"Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Summer,White,"Europe, Asia",,Rosaceae
753,Disocactus anguliger,"Fishbone cactus, zig zag cactus, ricrac cactus, orchid cactus",Cactus,Partial,"Loamy, moist but well-drained",Acidic,"Late summer, fall","White, yellow",North America,,Cactaceae
755,Salix integra 'Flamingo',"Flamingo willow, Japanese flamingo willow, flamingo dappled willow",Shrub,"Full, partial",Moist but well-drained,Neutral to alkaline (5.6 to 7.8),Spring,Yellow,Asia,,Salicaceae
1206,Kalanchoe luciae,"Flapjack succulent, paddle plant, red pancakes, dessert cabbage",Evergreen succulent,"Full, partial","Loamy, sandy, well-drained","Acidic, neutral, alkaline",Spring,White with a tinge of yellow,South Africa,"Toxic to people, toxic to pets",Crassulaceae
756,Linum usitatissimum,"Flax, common flax, linseed oil plant","Annual, herb",Full,"Sandy, loamy","Acidic, neutral, alkaline",Summer,Blue,"Asia, Europe",Toxic to pets,Linaceae
759,Lychnis chalcedonica,"Flower of Bristol, Maltese Cross, Nonesuch","Herbaceous, Perennial",Full,Moist but Well-drained,Acidic to neutral,Summer,"Red, White, Pink",Eurasia,,Caryophyllaceae
760,Malus spp. and cultivars,"Flowering crabapple, flowering crab",Flowering fruit tree,Full,"Rich, loamy, well-drained",Acidic to neutral (5.5 to 6.5),Late spring,White to pink,"North America, Europe, Asia","Seeds are toxic to human and animals, if consumed in large quantities",Rosaceae
761,"Zingiberaceae family, several genera and species","Flowering ginger, ornamental ginger, ginger","Herbaceous, perennial",Partial,"Moist, well-draining","Neutral, acidic",Summer,"Red, orange, yellow",Asia,,Zingiberaceae
763,Tiarella cordifolia,"Foamflower, Allegheny foamflower, False miterwort",Perennial,"Partial, full",Loamy,Neutral to acidic,Spring,White with pink accents,North America,,
765,Cercis canadensis 'Forest Pansy',Forest pansy redbud,Deciduous tree,Full sun to partial shade,"Average, medium moisture, well-drained",Adaptable,April,Rosy Pink,Eastern and central North America,,Fabaceae
767,Forsythia spp.,"Forsythia, golden bells",Deciduous shrub,"Full sun, partial shade",Moist but well-draining,Neutral to acidic,Spring,Yellow,Asia,,Oleaceae
1245,Pennisetum,Fountain grass,Ornamental grass,Full sun,"Loamy, sandy, clay, moist but well-drained","Acidic, neutral","Summer, fall","Pink, purple, white, tan","Asia, Africa, Australia",,
769,Mirabilis jalapa (synonym: Mirabilis lindheimeri),"Four o'clock plant, marvel of Peru, garden jalap","Herbaceous, perennial","Full, partial","Moist, well-drained","Acidic, neutral","Summer, fall","Pink, red, yellow, white",South America,"Toxic to people, toxic to pets",Nyctaginaceae
770,Asparagus densiflorus,"Foxtail fern, asparagus fern, plume asparagus, emerald feather, plumosa fern",Perennial,Partial,Well-draining,"Acidic, neutral",Spring,White,Africa,Toxic to humans and pets,Asparagaceae
771,Pinus balfouriana,Foxtail pine,Evergreen,"Full, partial","Loamy, Sandy, Well-drained",Acidic,Not applicable,Not applicable,North America,,
772,Rhus aromatica,Fragrant sumac,Deciduous shrub,Full to part sun,Adaptable,4.5 to 8.0,"March, April","Inconspicuous, yellow",Southern Canada to the Southern USA,,Anacardiaceae
773,Hosta sieboldiana 'Frances Williams',"Frances Williams hosta, Frances Williams plantain lily",Herbaceous perennial,"Partial shade, full shade",Moist but well-drained,Neutral to acidic,Summer,"White, lilac",Japan,Toxic to dogs and cats,
774,Franklinia alatamaha,Franklin Tree,Tree,Full Sun to Part Shade,"Rich Organic, Moist but well drained",Acidic,Late July to Early September,White,"Extinct in the wild, was Southeast Georgia",,
775,Freesia spp.,Freesia,Perennial bulb or corm,Full sun to partial sun,"Rich, moist, well-draining",Neutral,"Spring, summer","Pink, red, white, yellow, orange, blue, purple",Africa,,
776,Lavandula dentata,"French lavender, fringed lavender",Perennial,Full,"Sandy, Well-drained","Neutral, Alkaline","Spring, Summer, Fall, Winter",Purple,"Europe, Mediterranean",,Lamiaceae
777,Corydalis canadensis,"Fumewort, hollow wort, turkey corn",Perennial,Shade to partial sun,"Rich, well-drained, slightly alkaline",5.0 - 7.0,Spring,"Blue, pink, purple, white, yellow","China, Northern Africa, Northern Hemisphere",,
781,Petunia 'Night Sky',"Galaxy Petunia, Starry Sky Petunia","Perennial, Herbaceous",Full,Well-drained,"Neutral, acidic","Summer, fall","Purple, white","Cultivar, no native range",,Solanaceae
247,Impatiens balsamina,"Garden balsam, rose balsam, touch-me-not",Annual,"Full, partial","Loamy, moist, well-drained","Acidic, neutral","Spring, summer, fall","Purple, pink, red, white, bicolors",Asia,,Balsaminaceae
1148,Chrysanthemum spp.,"Garden mum, garden chrysanthemum, hardy chrysanthemum, hardy mum, mum","Herbaceous, perennial",Full sun,"Moist, well-drained",Neutral to acidic (6.5 to 6.7),"Summer, fall","Red, Pink, Orange, Yellow, Green, Purple, Maroon, Bronze, White","Asia, Europe","Toxic to dogs, cats, horses",Asteraceae (Compositae)
1254,Ranunculus asiaticus,"Garden ranunculus, Persian buttercup","Herbaceous, perennial, corm",Full,"Sandy, loamy, well-drained",Acidic,"Spring, summer","White, pink, yellow, purple, red, orange","Mediterranean, Southwest Asia, Southwest Europe",Toxic to humans and animals,Ranunculaceae
783,Gardenia jasminoides,"Gardenia, cape jasmine",Flowering broadleaf evergreen shrub,Part shade,"Rich, well-drained soil, peat-based potting mix in containers",5.0 to 6.5 (acidic),Seasonal bloomer,"White, cream","China, Japan, Taiwan",Mildly toxic to pets,Rubiaceae
784,Allium sativum,Garlic,"Bulb, vegetable",Full sun,"Moist, well-drained",Slightly acidic to neutral (6.0 to 7.0),Spring,,Asia,Toxic to animals,Amaryllidaceae
786,Alliaria petiolata,"Garlic mustard, garlic root, sauce-alone, jack-by-the-hedge, mustard-root","Herbaceous, biennial",,"Sandy, loamy, moist",,Spring,White,Europe,,
662,Dictamnus albus,"Gas plant, burning bush, dittany","Perennial, herbaceous",Full sun,"Loamy, sandy, chalky, clay","Neutral, alkaline",Summer,"Pink-purple, White, Red","Europe, Asia",Toxic to pets,
787,Gasteria spp.,"Gasteria, ox tongue, cow's tongue","Perennial, succulent","Full, partial","Sandy, well-drained","Acidic, neutral","Winter, spring","Red, pink",South Africa,,Asphodelaceae
248,Gazania rigens,"Gazania, treasure flower, African daisy","Perennial, herbaceous",Full,"Sandy, well-drained","Acidic, neutral","Spring, summer","Red, orange, yellow, white, pink",South Africa,,Asteraceae
790,Gerbera jamesonii,"Gerbera daisy, Transvaal daisy","Herbaceous, perennial","Full, partial","Moist, well-drained","Neutral, acidic","Summer, fall","Red, yellow, orange, pink, white",Africa,,Asteraceae
793,Echeveria lilacina,"Ghost echeveria, Mexican hens and chicks",Succulent,Full to partial sun,"Sandy, well-draining",Acidic,"Winter, spring",Pale pink or coral,North America,,
794,"Bhut jolokia, Capsicum chinense × Capsicum frutescens","Ghost pepper, ghost chili","Herbaceous, perennial",Full sun,"Loamy, moist, well-drained",Acidic (6 to 6.8),Summer,,Asia,,Solanaceae
795,Graptopetalum paraguayense,"Ghost plant, mother-of-pearl plant","Perennial, succulent",Full to partial sun,"Sandy, light potting mix","Slightly acidic, neutral (6.1-7.5)",Spring,Yellow,"North America, Central America (Mexico)",,
799,Allium giganteum,"Giant allium, giant ornamental onion",Perennial,"Full, partial","Loamy, sandy, well-drained","Acidic, neutral, alkaline","Spring, summer",Purple,Asia,Toxic to dogs and cats,
796,Persicaria polymorpha,"Giant fleece flower, knotweed, white fleece flower",Herbaceous perennial,Full sun,Moist but well-drained,Neutral to acidic,Summer,White,Asia,,
797,Heracleum mantegazzianum,"Giant hogweed, giant cow parsnip, cartwheel flower","Biennial, perennial, herbaceous",,,,Summer,White,Asia,"Toxic to humans, toxic to pets",
111,"Agastache rupestris, Agastache foeniculum, etc","Giant hyssop, hummingbird mint, licorice mint",Herbaceous perennial,Full sun,"Lean soil, well-drained",Slightly acidic,Summer,"Various (blue,purple, red, orange, pink, white)","North America, Asia, South America",,
1061,Gingko biloba,"Gingko, maidenhair",Tree,"Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Spring,Green,China,"Toxic to humans, toxic to pets.",Ginkgoaceae
803,Ficus retusa and Ficus microcarpa,Ginseng Ficus,"Tree, evergreen",Full,Well-drained,"Acid, neutral",,,Asia,"Toxic to humans, toxic to pets",Moraceae
805,Epipremnum aureum 'Glacier',Glacier pothos,"Perennial, vine",Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white",Asia,Toxic to pets,Araceae
806,Gomphrena globosa,Globe amaranth,"Annual, herbaceous",Full,Well-drained,"Acidic, neutral","Summer, fall","Pink, yellow, white",Central America,,Amaranthaceae
807,Echinops spp.,Globe thistle,Perennial,Full,Well-drained,Acidic,Summer,"Blue, purple, white","Asia, Europe",,Asteraceae
497,Gloriosa superba,"Gloriosa lily, climbing lily, fire lily, flame lily, glory lily",Herbaceous perennial,"Full, partial","Sandy, loamy",Neutral to acidic,"Summer, fall","Red, orange, yellow, pink","Africa, Asia",Highly toxic to humans and animals,Colchicaceae
808,Eccremocarpus scaber,"Glory flower, Chilean glory flower",Perennial or annual,Full sun to partial shade,"Rich, light, well-draining",Neutral,Summer,"Yellow, orange, orange-red, red",Chile,,
809,Salix caprea,"Goat willow, European pussy willow",Deciduous shrub or tree,Full,"Prefers moist soil, but tolerant of all soil types",Acidic to slightly alkaline (6.6 to 7.5),Spring,Yellow/green,"Europe, central and western Asia",,Salicaceae
812,Spiraea japonica 'Gold Mound',"Gold Mound spirea, Japanese spirea",Shrub,Full,Well-drained,"Acidic, neutral",Late spring,Pink,"Cultivar, no native range",,Rosaceae
811,Aucuba japonica,"Gold dust, gold dust aucuba, spotted laurel, variegated gold dust plant",Shrub,"Partial, shade",Well-drained,"Acidic, neutral, alkaline",Spring,Purple,Asia,,Garryaceae
814,Zizia aurea,"Golden Alexander, golden zizia",,Part sun to shade,Sandy or sandy-clay soils,Neutral to slightly acidic,Late spring,Yellow,Eastern Canada and U.S.,,
821,Pseudolarix amabilis,Golden Larch,Tree,Full,"Moist, loamy",Acidic,Non-Flowering,Non-Flowering,China,,Pinaceae
815,Phyllostachys aurea,"Golden bamboo, fishpole bamboo, fairyland bamboo","Shrub, tree, rhizome","Full sun, partial shade",Moist but well-drained,"Neutral, acidic",,,Asia,,Poaceae
816,Berberis thunbergii 'Aurea',"Golden barberry, golden Japanese barberry, aurea barberrry",Deciduous shrub,"Full, partial","Dry to medium moisture, well-drained",Acidic to slightly alkaline (5.5 to 7.2),Late April to early May,Yellow,Eastern Asia (China and Japan),"Mildly toxic to humans, pets",Berberidaceae
817,Echinocactus grusonii,"Golden barrel cactus, golden ball","Perennial, cactus",Full,Well-drained soil or cacti/succulent potting mix,6.1 to 7.5 (slightly acid to slightly alkaline),"Spring, summer",Yellow,North America,,
818,Laburnum x watereri,"Golden chain tree, bean tree, Waterer laburnum",Tree,Full,"Well-drained, moist","Acidic, neutral, alkaline",Spring,Yellow,Europe,"Toxic to humans, toxic to pets",Fabaceae
820,Philodendron 'golden goddess',"Golden goddess philodendron, Malay gold, lemon-lime philodendron",Vine,Partial,"Loamy, moist but well-draining",Acidic,Summer,"Green, white",Asia,,Araceae
823,Chrysogonum virginianum,"Golden star, green-and-gold",Perennial,Partial sun,"Sandy, clay",<6.8,"Spring, summer, fall",Yellow,United States,,
825,Solidago spp.,Goldenrod,Herbaceous perennial,Full sun; partial sun,"Average to infertile, well-drained","Acidic, neutral",Summer through fall,Yellow,North America,,Asteraceae
