,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
360,Zebra plant,Aphelandra squarrosa,Acanthaceae,Annual,"1–6 ft. tall, 1–5 ft. wide",Partial,Moist,"Neutral, acidic","Summer, fall",Yellow,11-12 (USDA),Brazil,
361,"Zigzag plant, red bird flower, fiddle flower",Euphorbia tithymaloides (formerly Pedilanthus tithymaloides),,Tropical succulent,2-3 ft. tall,"Bright, indirect sun","Rich, well-drained, slightly acidic",6.1- 7.8,Summer,"White, pink, red",9-10 (USDA),Tropical and sub-tropical North and Central America,Sap is toxic to humans and animals
362,Zinfin Doll hydrangea,Hydrangea paniculata 'Zinfin Doll',Hydrangeaceae,Shrub,"4-6 ft. tall, and 4-6 ft. wide","Full, partial",Well-drained,Neutral to acidic,Summer,"White, pink, red","3, 4, 5, 6, 7, 8",Asia,
363,"Annual geranium, zonal geranium, regal geranium, ivy-leaved geranium",Pelargonium spp. and hybrids,,"Herbaceous perennial flower, usually grown as an annual","5-36 in. tall, depending on variety",Full sun; tolerates light shade,"Rich, medium-moisture, well-drained soil",Slightly acidic (5.8 to 6.5),Flowers freely throughout season,"Red, purple, pink, magenta orange, salmon, white, bicolors",9 to 12 (USDA); grown as an annual elsewhere,Species are from Southern Africa; most are now cultivated hybrids,"Toxic to people, cats, dogs, and pets"
364,,Zygopetalum,Orchidaceae,"Perennial, epiphyte",12-24 in. tall,Partial,,,Up to 4 times annually,"Purple, burgundy, green, white, blue","9-10, USDA",Tropical South America,
365,"ZZ plant, Zanzibar gem, eternity plant",Zamioculcas zamiifolia,Araceae,Perennial,"2-4 ft. tall, 2-4 ft. wice",Partial,Well-draining,"Neutral, acidic",Spring,"Yellow, green, white",,Africa,"Toxic to humans, toxic to pets"
366,"Black-eyed Susan vine, clockvine",Thunbergia alata,Acanthaceae,"Perennial, annual, vine","3-8 ft. tall, 3-6 ft. wide","Full, partial",Well-drained,Neutral,Summer,"Orange, white, yellow, red, pink",10-11 (USDA),Africa,
367,Blackberry,Rubus Fruticosus,,Perennial,3–5 feet,Full sun,"Rich, well-drained loam",Slightly acidic to neutral (5.5 to 7.0),,,5–8,"North America, especially the Pacific Northwest",
368,"Blackberry lily, leopard lily",Iris domestica,Iridaceae,"Herbaceous, perennial","2–3 ft. tall, 9–24 in. wide",Full,Well-drained,"Acidic, neutral, alkaline",Summer,"Orange, yellow, red",5–10 (USDA),Asia,"Toxic to humans﻿﻿﻿﻿, toxic to pets"
369,"Blackhaw viburnum, blackhaw, black haw, sweet haw, stag bush, sheepberry",Viburnum prunifolium,,"Perennial, shrub","12–15 ft. tall, 6–12 ft. wide","Full, partial","Moist, well-drained",Neutral,Spring,White,3–9 (USDA),North America,
370,Blackjack oak,Quercus marilandica,Fagaceae,Deciduous tree,"20 - 40 ft. tall, 20 - 40 ft. wide",Full sun,Dry to medium well-drained soil,Acidic to neutral soil,May,,6 to 9 (USDA),Central and southeastern United States,
371,"Gallardia, blanket flower",Gaillardia x Grandiflora,Asteraceae,Herbaceous perennial,24 - 36 in. tall; 12- to 24-in. spread,Full sun,"Poor, well-draining soil",6.1 to 6.5 (slightly acidic),"Repeat bloomer, summer through fall","Various shades of red, yellow, orange, or peach",3-10 (USDA); varies by variety,Cultivated hybrid; parents are native North American wildflowers,Slightly toxic to humans
372,"Bleeding heart, common bleeding heart, fern-leaf bleeding heart",Lamprocapnos spectabilis (formerly Dicentra spectabilis),Papaveraceae,"Herbaceous, perennial","1–3 ft. tall, 2–3 ft. wide","Partial, shade","Moist, well-drained","Acidic, neutral",Spring,"Pink, white, red",3–9 (USDA),Asia,"Toxic to people, toxic to pets"
373,Air plant,Tillandsia kolbii,,Houseplant or annual,1 to 3 inches,"Bright, indirect light",Not applicable,Not applicable,"Once, when fully matured","Red, orange, or purple","9 to 11, USA",Mexico and Guatemala,
374,"Blood Lily, African Blood Lily, Fireball Lily",Scadoxus multiflorus,,Perennial,"24 in. tall, 15 in. wide",Partial,"Loamy, sandy, moist but well-drained","Acidic, Neutral, Alkaline","Summer, Fall",Red,"9-11, USA",Africa,Toxic to pets
375,'Bloodgood' Japanese maple,Acer palmatum 'Bloodgood',Aceraceae,Tree,"15-20 ft. tall, 15-20 ft wide","Full, partial","Clay, loamy, sandy, well-drained","Neutral, acidic",Summer,,5-8 (USDA),Asia,
376,"Bloomerang lilac, reblooming lilac",Syringa x,,Deciduous shrub,Four to five feet tall and wide,Full sun,Loamy,Slightly alkaline 7.5,Spring and mid-summer through fall,"Lavender, pink, purple",3a-7b,Non-native hybrid,
377,BloomStruck hydrangea,Hydrangea macrophylla 'P11HM-11',Hydrangeaceae,Deciduous shrub,"3-4 ft. tall, 4-5 ft. wide",Partial shade,"Well-draining, moist","Acidic for blue blooms, alkaline for purple or red blooms",Summer,"Blue, purple, red",4-9 (USDA),"Cultivar, no native range","Toxic to humans, toxic to dogs, cats, and horses"
378,"Blow wives, soft blow wives",Achyrachaena mollis,Asteraceae,Annual,1–2 feet tall,Full sun,Sandy loam to clay,Acidic to alkaline,"Spring, summer",Yellow,All zones (true annual),Western North America,
379,Blue ash,Fraxinus quadrangulata,Oleaceae,Deciduous tree,"50-75 ft. tall, 25–35 ft. wide",Full,"Well-drained, sandy loam",Acidic to alkaline (5.6–8.4),"Spring, summer",Purple (not showy),4–7 (USDA),North America,
380,"Blue Atlas cedar, Atlas cedar",Cedrus atlantica,Pinaceae,Tree,"40–60 ft. tall, 30–40 ft. wide","Full, partial",Well-drained,Acidic,,,6–9 (USDA),Africa,
381,"Blue beard, blue mist, blue spirea",Caryopteris × clandonensis,Lamiaceae,Deciduous shrub or woody perennial,2–4 ft. tall and wide,Full,"Medium moisture, well-drained",Neutral (6.5 to 7.5),Midsummer to early fall,"Blue, purple; pink cultivars available",6b-9a (USDA),Hybrid; parent species native to east Asia,
382,Blue Chip butterfly bush,Buddleia davidii 'Blue Chip',Scrophulariaceae,Shrub,"24-36 in. tall, 24-36 in. wide",Full,Well-drained,"Acidic, neutral","Summer, fall","Blue, purple",5-9 (USDA),"Cultivar, no native range",
383,"Dwarf morning glory, blue daze, Brazilian dwarf morning glory, evolvulus",Evolvulus glomeratus,Convolvulaceae,"Perennial, annual","9–24 in. tall, 2–3 ft. wide",Full,"Moist, well-drained","Acidic, neutral","Summer, fall",Blue,8-11 (USDA),South America,
384,Air plant,Tillandsia stricta,,Houseplant or annual,6 to 12 inches,"Bright, indirect light",Not applicable,Not applicable,"Once, when fully matured","Red, pink, blue, or purple",9 to 11,South America,
385,"Blue-eyed grass, narrow-leaved blue-eyed grass",Sisyrinchium angustifolium,Iridaceae,Perennial,"8–20 in. tall, 6–12 in. wide","Full, partial","Moist, well-drained",Acidic to neutral (5.0 to 7.0),"Late spring, early summer",Blue-violet,4–9 (USDA),Eastern North America (Northern Florida to Canada),
386,"Blue fescue, blue fescue grass",Festuca glauca,Poaceae,"Perennial, grass","6-12 in. in high, 6-18 in. spread","Full, part","Moist, well-draining","Neutral, acidic, alkaline",Summer,"Green, yellow",4-8 (USDA),Europe,
387,"Northern blue flag, blue flag, harlequin blue flag, blue flag iris, large blue iris, larger blue flag, purple iris",Iris versicolor,Iridaceae,"Perennial, herbaceous",2-3 ft. tall and wide,"Full, partial",Moist,Acidic,"Spring, summer","Blue, purple",3-9 (USDA),North America,"Toxic to humans, toxic to pets"
388,"Blue Mistflower, Blue Boneset, Wild Ageratum, Hardy Ageratum",Conoclinium coelestinum,,Perennial,"1-3 ft. tall, 1-3 ft. wide","Full, partial","Loamy, sandy, clay, moist","Mildly acidic, neutral","Summer, fall","Blue, purple",5 through 10,"Central and southeastern U.S., Canada, West Indies",
389,Blue oat grass,Helictotrichon sempervirens,Poaceae,Perennial,"2-3 ft. tall, 2-3 ft. wide",Full sun,Dry and well-drained,Slightly acidic to neutral,Summer,Blue,4-9 (USDA),Europe,
390,"Blue Princess holly, blue holly",,Aquifoliaceae,Shrub (broadleaf evergreen),"10–15 ft. tall, 8–10 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral (5.0—7.0)",Spring,White,3b-7a (USDA),Nursery hybrid,Mildly toxic to people and pets
391,"Blue rug juniper, creeping juniper, carpet juniper",Juniperus horizontalis 'Wiltonii',Cupressaceae,"Evergreen shrub, groundcover","3-6 in. tall, 6-8 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline",,,3-9 (USDA),North America,
392,"Mealycup sage, Victoria blue salvia, Victoria Blue flowering sage, mealy blue sage",Salvia farinacea,,Herbaceous perennial,"1–3 ft. tall, 1–2 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Late spring, summer, fall",Violet blue,8–10 (USDA),North America,
393,"Blue Spruce, Green Spruce, White Spruce, Colorado Spruce, Colorado Blue Spruce",Picea pungens,Pinaceae,Tree,"75 ft. high, 15-20 ft. wide.",Full,"Loamy, clay, sandy, moist, rich, well-drained","Acidic, neutral",,,2-7 (USDA),North America,
394,"Blue star creeper, swamp isotome",Isotoma fluviatilis,Campanulaceae,"Herbaceous, perennial","2–3 in. tall, 1–2 ft. wide","Full, partial","Moist, well-draining","Acidic, neutral","Spring, summer","Blue, purple",6–8 (USDA),"Australia, New Zealand",
395,"Bugleweed, common bugleweed, ajuga, carpet bugle, blue bugle, carpetweed, carpenter's herb",Ajuga reptans,Lamiaceae,Herbaceous perennial,6 to 9 in. tall and 6 to 12 in. wide,Full sun to partial shade,"Medium-moisture, well-drained",Slightly acidic 6.5,May to June,"Blue, violet",4 to 9 (USDA),"Europe, northern Africa, southwestern Asia",
396,"Blue star juniper, flaky juniper, Himalayan juniper, singleseed juniper",Juniperus squamata 'Blue Star',Cupressaceae,Shrub,"1 to 3 ft. tall, 1.5 to 3 ft. wide",Full,Sandy,"Acidic, alkaline",,,4-8 (USDA),Asia,
397,"Column cactus, blue torch cactus, woolly torch cactus",Pilosocereus,Cactaceae,Cactus,"6–12 ft. tall, 2–4 ft. wide",Full,"Sandy, Well-drained",Neutral to acidic,Summer,"White, white-yellow",9–11 (USDA),"Mexico, South America, Caribbean",
398,Blueberry,Vaccinium spp.,Ericaceae,"Fruit, perennial","One to eight feet tall, two to ten feet wide (varies by species)",Full sun,"Sandy, well-drained",Acidic (4.0 to 5.2),Spring,,3–9 (USDA) (varies by species),North America,
399,Bobo hydrangea,Hydrangea paniculata 'Ilvobo',Hydrangeaceae,Deciduous shrub,"2–3 ft. tall, 3–4 ft. wide","Full, partial","Loamy, well-drained",Acidic,Summer,White,3–8 (USDA),"Cultivar, no native range",Toxic to dogs and cats
400,"Jack-in-the-pulpit, bog onion, lord-and-lady, wake robin",Arisaema triphyllum,,Herbaceous perennial,"1-2 ft. tall, with a similar spread",Partial to full shade,"Moist, humusy",Acidic,April to May,Greenish-purple,4a-9a (USDA),Eastern North America,Toxic to people and animals
401,"Bok choy, Chinese cabbage, bok choi, pac choy, pac choi",Brassica rapa var. chinensis,Chinese brassicas,Biennial vegetable (usually grown as annual),6-24 in tall.; 6- to 18-in. spread,"Full sun, part shade","Rich, well-drained",6.5 to 7.0 (slightly acid to neutral),Summer,,2-11 (USDA),China,
402,"Boneset, American boneset, feverwort, thoroughwort",Eupatorium perfoliatum,Asteraceae,Herbaceous perennial,3-6 ft. tall and 1-4 ft. wide,"Full, partial",Moist; sandy or clay,6.5 to 7,July to September,White,"3 to 8, USDA",North America,Toxic to people
403,Bonsai pine,Pinus Bonsai,Pinus,"Evergreen, coniferous tree",60-80 in. tall (or desired),Full,"Well-drained, bonsai soil","Acidic, Neutral",,,,"North America, China, South-East Asia, Russia, Europe",
404,"Borage, starflower, tailwort",Borago officinalis,Boraginaceae,"Annual, herb","1-3 ft. tall, 9-18 in. wide","Full sun, partial sun",Well-drained,"Acidic, neutral, alkaline",Summer,Blue,2–11 (USDA),Mediterranean,Toxic to people and pets
405,"Boston fern, sword fern, ladder fern, boss fern",Nephrolepis exaltata,Lomariopsidaceae,"Herbaceous, perennial",2 to 3 feet tall and wide,Partial sun,"Moist, well-drained",Acidic (6.0 to 6.5),Non-flowering,Non-flowering,10 to 12 (USDA),"Americas, Africa, Polynesia",
406,"Aleppo pine, Jerusalem pine",Pinus halepensis,Pinaceae,"Evergreen, Tree","20 to 50 ft. tall, 20 ft. wide",Full sun,"Loamy, Sandy","Acidic, Neutral, Alkaline",,,"8-11, USDA",Mediterranean,
407,Boston ivy,Parthenocissus tricuspidata,Vitaceae,"Vine, perennial",30–50 ft. long,"Full, partial","Loamy, moist","Acidic, alkaline",,,4–8 (USDA),Asia,"Toxic to people, toxic to pets"
408,"Weeping bottlebrush, red cascade",Melaleuca viminalis,Myrtaceae,"Tree, shrub","15-20 ft. tall, 15-20 ft. wide",Full,"Loamy, sandy, moist but well-drained",Slightly alkaline,"Spring, summer",Red,"9-11, USDA",Australia,
409,"Bougainvillea, lesser bougainvillea, paper flower",Bougainvillea,,"Perennial, shrub","15–40 ft. tall, 15–40 ft. wide (outdoors); 2–6 ft. tall, 1–3 ft. wide (indoors)",Full,Moist but well-drained,Acidic,"Spring, summer, fall","Pink, purple, red, yellow",9–11 (USDA),South America,
410,"Boxelder, ashleaf maple",Acer negundo,,Tree,"30–50 ft. tall, 30-50 ft. wide",410,Moist,,,,2–10 (USDA),North America,Toxic to horses
411,"Boxwood, English boxwood, box",Buxus spp.,Buxaceae,Shrub,"2-8 ft. tall, 2-8 ft. wide","Full, partial",Loamy,"Neutral, alkaline",Spring,"Green, yellow",5-9 (USDA),"Europe, Asia",Toxic to pets
412,"Water hyssop, brahmi, herb of grace",Bacopa monnieri,Plantaginacae,"Herbaceous, perennial","1–3 ft. tall, 1–4 ft. wide","Full, partial","Moist, wet; grows even in standing water",Acidic to neutral (5.0 to 7.0),Late spring to early fall,White to light pink,8–11 (USDA),"Warm wetlands of Americas, Asia, Africa",
413,"Brain cactus, wave cactus",Stenocactus multicostatus,,Cactus,"Up to 5 in. tall, 6 in. wide",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Spring, summer","White, pink, purple",9–11 (USDA),Central America,
414,"Brass buttons, buttonweed, golden buttons","Leptinella squalida, formerly known as Cotula squalida",Compositae,"Perennial, groundcover",1-2 in. tall; 8-18 in. wide,Partial,Loamy,Acidic,Spring,Yellow,4-9 (USDA),New Zealand,
415,Bridal wreath spirea,Spiraea prunifolia,Rosaceae,Deciduous shrub,"4-8 ft. tall, 4-8 ft. wide",Full,Well-draining,"Acidic, neutral",Spring,White,4-9 (USDA),Asia,
416,"Black-eyed Susan vine, clockvine",Thunbergia alata,Acanthaceae,"Perennial, annual, vine","3–8 ft. tall, 3–6 ft. wide","Full, partial","Loamy, rich, well-draining",Neutral,"Spring, summer, fall","Red, rose, orange, yellow, white",10-11 (USDA),Africa,
417,"Algerian ivy, Canary Island ivy, Madeira ivy",Hedera algeriensis,,Evergreen vine,"20-40 ft. long vine, 3-ft. spread",Partial shade to partial sun,"Neutral, well-draining","Neutral, slightly acidic",Spring,Flowers rarely; light green,7-11 (USDA),North Africa,Toxic to humans and animals
418,Broccoli,Brassica oleracea var. italica,Brassicaceae,"Biennial, annual, vegetable","18–30 in. tall, 12–24 in. wide",Full sun,"Moist, loamy, well-drained","Acidic, neutral",,,2–11 (USDA),"Mediterranean, Asia",
419,Bromeliad,Bromeliaceae genera,Bromeliaceae,Perennial,Varies by genera and species,Partial,Well-draining,Acidic,Blooms once; timing varies,"Red, green, purple, orange, yellow",10-11 (USDA),"North America, Central America, South America",
420,"Broom, broom plant","Cytisus spp., Genista spp.",Fabaceae,Shrub,"6-8 ft. tall, 5-6 ft. wide",Full,"Loamy, well-drained","Acidic, neutral, alkaline","Spring, summer","Yellow, white, red, orange, purple",5-8 (USDA),Europe,"Toxic to humans, toxic to pets"
421,"Browallia, Amethyst flower, Bush violet, Sapphire flower",Browallia speciosa,Solanaceae,Perennial,"1-2 ft. tall, 1-2 ft. wide","Full, partial","Sandy, clay, loamy","Neutral to acidic, acidic, alkaline","Summer, fall","Blue, purple, white","10, 11",South America,Toxic to pets
422,"Black-eyed Susan, brown Betty, Marguerite Jaune, hairy coneflower",Rudbeckia hirta,Asteraceae,Short-lived Perennial,"2-3 ft. tall, 1-2 ft. wide",Full,"Moist, well-drained","Acidic, neutral","Summer, fall","Yellow, orange, red",3-9 (USDA),North America,
423,"Brown-eyed susan, thin leaved coneflower",Rudbeckia triloba,,"Biennial, short-lived perennials",Up to 5 ft. tall,Full sun to part sun,"Fertile, loam, tolerates clay and gravel",Slightly acidic,"Mid to late summer, often blooms until fall",Bright yellow,3 through 10 (USDA),"Eastern US and Midwest, south to Texas",
424,"Brugmansia, trumpet of death, Angel's trumpet, Moonflower",Brugmansia,Solanaceae,"Perennial, shrub","6–35 ft. tall, 3–10 ft. wide",Full,"Moist, but well-drained",Acidic,Summer,"White, yellow, orange, pink",9–11 (USDA),South America,"Toxic to people, toxic to pets"
425,"Siberian bugloss, brunnera, large-leaf brunnera, heartleaf, false forget-me-not",Brunnera macrophylla,Boraginaceae,"Perennial, herbaceous","12–18 in. tall, 18–30 in. wide","Full, partial, shade","Moist, well-drained","Acidic, neutral, alkaline",Spring,Blue,3–8 (USDA),"Asia, Europe",
426,Brussels sprouts,Brassica oleracea var. gemmifera,Brassicaceae,"Biennial, annual, vegetable","2–3 ft. tall, 1 ft. wide",Full sun,"Loamy, well-drained",Neutral,Summer,,2–10 (USDA),Mediterranean,
427,Bulbous Air Plant,Tillandsia bulbosa,,perennial herbaceous,4–7 inches,"Bright, indirect light or part shade",None,None,Once per lifetime,Violet,9–11,"Mexico, Central and South America",
428,"Alligator juniper, checkerbark juniper, western juniper",Juniperus deppeana,Cupressaceae,Evergreen tree,50-60 ft. tall,Full sun,"Dry, well-draining",Slightly acidic,,,7-9 (USDA),"Mexico, southern United States",
429,"Common cattail, broadleaf cattail, bulrush",Typha latifolia,Typhaceae,"Perennial, herbaceous","5-10 ft. tall, 18-24 in. wide","Full, partial","Moist, loamy","Acidic, neutral, alkaline",Summer,Brown,3-10 (USDA),"Europe, North America, Asia",
430,"Bunny ear cactus, angel's wings cactus, polka dot cactus",Opuntia microdasys,,Cactus,"2-3 ft. tall, 4-5 ft. spread",Full sun,"Sandy, well-draining","Acidic, neutral",Summer,"Yellow, white","9a, 9b, 10a, 10b, 11a, 11b",Mexico,
431,"Bur oak, mossycup oak",Quercus macrocarpa,Fagaceae,Tree,"70-90 ft. tall, 60-90 ft. wide",Full,"Sandy, silt, clay, loamy","Acidic, neutral, alkaline",,,3-8 (USDA),North America,
432,"Donkey's tail, burro's tail, lamb's tail",Sedum morganianum,Crassulaceae,"Perennial, succulent","1–4 ft. long, 1–2 ft. wide","Full, partial","Loamy, sandy","Neutral, alkaline",Summer,"Red, white, yellow",10–11 (USDA),"Mexico, Honduras",
433,"Butterhead lettuce, butter lettuce, butter leaf, buttercrunch",Lactuca sativa var. capitata,,"Annual, vegetable",9–15 in. tall and wide,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral",,,2–11 (USDA),Mediterranean,
434,"Buttercup winter hazel, winter hazel",Corylopsis pauciflora,Hamamelidaceae,Deciduous shrub,4–6 ft. tall and wide,"Full, partial","Rich, medium-moisture, well-drained",Acidic (less than 6.0),Late winter to early spring,Pale yellow,6–8 (USDA),"Eastern Asia (Japan, Taiwan)",
435,Butterfly bush,Buddleja davidii,Scrophulariaceae,"Shrub, perennial","3–12 ft. tall, 3-8-ft. wide",Full,"Moist, well-drained soil","Acidic, neutral",Summer,"Purple, pink, blue, white, yellow",5–9 (USDA),Asia,
436,"Psychopsis orchid, butterfly orchid",Psychopsis,,Orchid,"12-16"" tall","Bright, indirect light","Sphagnum moss, bark mix",5.5 - 6.5,Varies,"Yellow, orange, pink, red.",,"Central America, Southern America",
437,"Butterfly weed, butterfly milkweed, pleurisy root, orange milkweed",Asclepias tuberosa,Asclepiadaceae,Herbaceous perennial,"1–2 ft. tall, 12 to 18 in. wide",Full,"Dry, well-drained",Slightly acid to neutral (6.0 to 7.0),Summer,"Orange, yellow",3–9 (USDA),North America (eastern and southeastern U.S.),Mildly toxic to animals and humans
438,"Butternut squash, Butternut pumpkin, Gramma",Cucurbita moschata,,Annual,"9-18 in. tall, 10-15 ft. wide (vine length); bush varieties take up less space",Full sun,"Rich, well-drained",Acidic to neutral (5.5 to 7.0),Summer,Yellow,2 to 11 (UDSA),"Central America, South America",
439,Acoma crape myrtle,Lagerstroemia x ‘Acoma’,Lythraceae,Tree,2-15 ft. tall and 2-10 ft. wide,Full,Well-draining,Slightly acidic to neutral,"Spring, summer",White,"7, 8, 9","Asia, Australia",
440,Almond tree,Prunus dulcis,,Deciduous tree,10 to 15 feet tall and wide,Full sun,"Rich, deep, well-drained loam",Slightly acidic to neutral to slightly alkaline,March,"White, pink",7 to 9,North Africa and the Middle East,
441,"Buttonbush, Common Buttonbush, Honeybells, Pond Dogwood, Swampwood",Cephalanthus occidentalis,Rubiaceae,"Perennial, Shrub","6-12 ft. tall, 6-12 ft. wide","Full, Partial","Loamy, Silt, Moist",Neutral,Summer,White,"5-11, USA",North America,"Toxic to pets, toxic to people"
442,Cabbage,Brassica oleracea,Brassicaceae,"Vegetable, biennial, annual","1–2 ft. tall, 1–2 ft. wide",Full,"Loamy, well-drained","Acidic, neutral",,,2–11 (USDA),Europe,
443,Cactus,Cactaceae,Cactaceae,"Succulent, perennial","1-96 inches tall, 2-30 inches wide depending on species and cultivar",Full sun,"Well-drained, sandy","Neutral, acidic",Summer,"Orange, pink, red, yellow, white",9 to 11 (USDA),"North America, South America",
444,"Caladium, elephant ears",Caladium,Araceae,Tropical perennial,"12–30 in. tall, 12–24 in. wide","Indirect light (indoors), full to partial shade (outdoors)","Rich, well-drained",Slightly acidic,"Spring, summer, fall","Green, pink, white, red",9–11 (USDA),"Central America, South America",Toxic to people and pets
445,"Acorus, sweet flag, calamus",Acorus,,"Herbaceous perennial, rhizome","3 in. to 3 ft. tall, 6 in. to 2 ft. wide",Full sun to part shade,"Moist to wet, variety of types",6.5-7.5,Spring,Greenish-yellow (not showy),6-9 (USDA),"Japan, China",Toxic to humans and animals
446,Calathea 'White Fusion',Calathea lietzei,Marantaceae,Herbaceous Perennial,Up to 2 ft. tall,Partial,"Moist, Well-drained",Acidic,Summer,"Yellow, purple, white","11b-12b, USDA",Central Mexico to tropical South America,
447,Round-leaved calathea,Calathea Orbifolia syn. Geoppertia orbifolia,Marantaceae,"Perennial, Herbaceous",2-3 ft. tall,Partial Shade,Moist but well-drained,"Acid, Neutral, Alkaline",Rarely flowers indoors,Creamy white inflorescences,11b-12b (USDA),South America,
448,"Calendula, pot marigold, common marigold",Calendula officinalis,Asteraceae,"Perennial, annual","1-2 ft. tall, 1-2 ft. wide","Full, partial",Well-drained,Neutral,"Spring, summer, fall","Yellow, orange, red, white, pink",2a-11b (USDA),Mediterranean,
449,"Calibrachoa, million bells, trailing petunia, mini petunia",Calibrachoa group,Solanaceae,Herbaceous perennial flower often grown as an annual,"6–12 in. tall, 12–24 in. wide",Full sun to part shade,"Moist, rich, well-drained",5.0–6.5 (acidic),Spring to fall,"Coral, yellow, orange, red, pink, blue, purple, burgundy, lavender, cream",9–11 (USDA); grown as an annual in all zones,South America,
450,"California Fan Palm, Desert Fan Palm",Washingtonia filifera,Arecaceae,Tree,"30 to 80 ft. tall, 15 ft. wide","Full, Partial","Loamy, Sandy, Moist but well-drained","Acidic, Neutral, Alkaline",Summer,White,"8-11, USA",North America,
451,"Alocasia, elephant ear",Alocasia spp.,"Araceae, or Aroid",Herbaceous perennial,"2–9 ft. tall, 2-9 ft. spread (depends on species and variety)",Bright indirect light indoors; part shade outdoors,"Loose, well-draining potting mix or crumbly loam",Slightly acidic (5.5 to 6.5),Spring and summer,Light butter-yellow (flowers are not showy),10–12 (USDA),Tropical regions of Asia,"Toxic to dogs, cats, and humans"
452,California juniper,Juniperus californica,,"Evergreen, tree, shrub",Up to 25ft. tall,Full sun,"Sandy, loamy, clay, well-drained","Acid, neutral, alkaline",Spring,Blue berries with a white waxy sheen,"8 - 10, USDA","California, Southwestern North America",
453,"California lilac, Mountain lilac, Wild lilac",Ceanothus spp.,Rhamnaceae,Evergreen and deciduous shrubs,2-20 ft. tall,"Full Sun, Partial Shade",Well-drained,"Acid, Neutral, Alkaline",Depends on the cultivar,"Blue, Pink, White","Varies, dependng on the cultivar",North America,
454,Callery pear,Prunus calleryana,,Deciduous tree,30 to 50 feet,Full sun,"Moist, well-drained, tolerant of most soils",Slightly acidic 6.0-7.0,Spring,White,4 to 9,"China, Vietnam",
455,"Calypso orchid, fairy slipper, Venus' slipper",Calypso bulbosa,Orchidaceae,Perennial,"3–6 in. tall, 3 in. wide","Partial, shade","Moist, well-drained",Acidic,"Spring, summer","Pink, purple, red, white","4–8, USA","North America, Eurasia",
456,Camellia,Camellia spp.,Theaceae,Broadleaf evergreen shrub,"2–12 ft. tall, 2–10 ft. wide (depends on variety)",Partial,"Rich, moist but well-drained",Acidic,"Late fall, winter, early spring","White, pink, red, yellow, or lavender",7–9 (USDA); some varieties hardy in zone 6,"Asia (Japan, China, Korea)",
457,Camperdown elm,Ulmus glabra 'Camperdownii',,Annual or perennial,20-25 feet tall and 20-30 feet wide,Full to part sun,Moist and sandy,Alkaline,March and April,Red,4 to 7,Scotland,
458,Camphor tree,Cinnamomum camphora,,Evergreen,"50-65 ft. tall, 50-60 ft. wide",Full sun,"Moist, fertile, sandy soil",Slightly acidic to very basic,April,Inconspicuous,USDA 9-11,China and Japan,"Toxic to people, toxic to cats, toxic to dogs"
459,"Campion, Catchfly, Weed Silene, Fire Pink",Silene,,Perennial (sometimes annual),"Three-quarters of an inch to 4 feet tall, depending on variety","Full sun to part shade, depending on variety","Neutral to acidic, rich in humus",05-Jul,Spring and Summer,"Red, white, pink, sometimes blue",05-Aug,North American grasslands,
460,"Canada wild rye, Canadian wildrye, prairie wildrye, nodding wild rye",Elymus canadensis,,Perennial bunchgrass,Up to 5 ft. tall and 3 ft. wide,Full sun,"Loamy, sandy, clay, well-drained","Acid, neutral, alkaline","Summer, early fall",Blue-green,"3 - 8, USDA",North America,
461,"Blue Spur Flower, Candlestick Plant, Speckled Spur Flower, Zulu Wonder","Plectranthus barbatus, Coleus barbatus",,Perennial,5 feet tall,Sun to partial shade,"Rich, well-draining",Neutral to acidic,Late summer to early fall,Lavender,9 to 11,Africa,
462,Alocasia tiny dancer,Alocasia 'Tiny Dancer',Araceae,"Perennial, corm","14-20 in. tall, 11-18 in. wide",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer","Green, white","10-11, USA",Asia,Toxic to pets
463,Candy corn plant,Cuphea micropetala,,"Semi-woody shrub, often planted as an annual","3 feet tall, with a 2-foot spread",Full sun to part shade,"Average, well-drained soil",5.5 to 6.5; slightly acidic to neutral,Summer to fall,Orange and yellow,"8 to 11, USDA",Mexico,
464,Candytuft,Iberis sempervirens,Brassicaceae,"Shrub, herbaceous, perennial","12–18 in. tall, 12-16 in. wide","Full, partial",Well-drained,"Acidic, neutral, alkaline",Spring,"White, pink, lilac, red",3–9 (USDA),"Europe, Mediterranean",
465,"Canna, canna lily",Canna spp.,Cannaceae,"Perennial, grown as an annual in colder zones","1.5–8 ft. tall, 1.5–6 ft. wide",Full sun,"Rich, moist, well-draining",Acidic (6.0 to 6.5),Summer,"Red, orange, yellow, pink, cream, white; solid color or with contrasting spots",,"South America, Central America, West Indies, Mexico, southeastern United States",
