web-scraper-order,web-scraper-start-url,link,link-href,Light,Soil,Water,Temperature and Humidity,Fertilizer,How to Grow
"1667986044-17687","https://www.thespruce.com/plants-a-to-z-5116344","Sugar Tyme Crabapple Malus 'sutyzam'","https://www.thespruce.com/growing-sugar-tyme-crabapple-tree-5076309","The main soil requirement for a 'Sugar Tyme' crabapple is that it be well-draining. Rich, loamy soil is the best choice for these trees, but they have proven to be adaptable to other sites where the soil provides adequate drainage. Ideally, this tree should be planted in slightly acidic soil with a pH level between 5.5 and 6.5.","","","","",""
"1667986044-17688","https://www.thespruce.com/plants-a-to-z-5116344","Sugar Tyme Crabapple Malus 'sutyzam'","https://www.thespruce.com/growing-sugar-tyme-crabapple-tree-5076309","","The main soil requirement for a 'Sugar Tyme' crabapple is that it be well-draining. Rich, loamy soil is the best choice for these trees, but they have proven to be adaptable to other sites where the soil provides adequate drainage. Ideally, this tree should be planted in slightly acidic soil with a pH level between 5.5 and 6.5.","","","",""
"1667986048-17689","https://www.thespruce.com/plants-a-to-z-5116344","Sugar Cane Saccharum officinarum","https://www.thespruce.com/growing-sugar-cane-plants-5086465","Sugar cane is known for being an energy-hungry plant. It saps the nutrients from the soil rapidly. Soil rich in organic matter is going to be important. Many enthusiasts mix a fertile compost and lime into the soil.","","","","",""
"1667986048-17690","https://www.thespruce.com/plants-a-to-z-5116344","Sugar Cane Saccharum officinarum","https://www.thespruce.com/growing-sugar-cane-plants-5086465","","Sugar cane is known for being an energy-hungry plant. It saps the nutrients from the soil rapidly. Soil rich in organic matter is going to be important. Many enthusiasts mix a fertile compost and lime into the soil.","","","",""
"1667986048-17691","https://www.thespruce.com/plants-a-to-z-5116344","Sugar Cane Saccharum officinarum","https://www.thespruce.com/growing-sugar-cane-plants-5086465","","","Sugar cane likes to be kept consistently moist in well-drained soil, but not wet or overly watered. If you don't live in a region that receives a lot of rainfall, it will need a decent amount of additional irrigation. Plan on the average 1 to 2 inches of water a week.","","",""
"1667986051-17692","https://www.thespruce.com/plants-a-to-z-5116344","Succulent Senecio Senecio","https://www.thespruce.com/senecio-plants-1402876","The plants aren't particular about soil pH and do fine in the neutral range (6.0–7.0). More importantly, make sure the soil is well-drained and on the sandy side. For potted plants, use a fast-draining succulent or cactus soil mix.","","","","",""
"1667986051-17693","https://www.thespruce.com/plants-a-to-z-5116344","Succulent Senecio Senecio","https://www.thespruce.com/senecio-plants-1402876","","The plants aren't particular about soil pH and do fine in the neutral range (6.0–7.0). More importantly, make sure the soil is well-drained and on the sandy side. For potted plants, use a fast-draining succulent or cactus soil mix.","","","",""
"1667986051-17694","https://www.thespruce.com/plants-a-to-z-5116344","Succulent Senecio Senecio","https://www.thespruce.com/senecio-plants-1402876","","","As succulents, these plants have excellent tolerance for drought. For most types, allow the roots to dry out completely between waterings. Soaking in water will cause the roots and plants to turn mushy.","","",""
"1667986051-17695","https://www.thespruce.com/plants-a-to-z-5116344","Succulent Senecio Senecio","https://www.thespruce.com/senecio-plants-1402876","","","","Most varieties thrive in USDA Hardiness Zones 9 to 12. As with the majority of succulents, they're heat-tolerant. A few Senecio species can withstand brief periods of cold or dampness, but prolonged exposure to cold will turn them to mush.","",""
"1667986051-17696","https://www.thespruce.com/plants-a-to-z-5116344","Succulent Senecio Senecio","https://www.thespruce.com/senecio-plants-1402876","","","","","Since Senecio plants grow in sandy soil, the nutrients will need to be replenished. Fertilize annually, but lightly. Too much fertilizer can cause an abundance of leggy growth.",""
"1667986054-17697","https://www.thespruce.com/plants-a-to-z-5116344","Stromanthe Triostar Stromanthe sanguinea","https://www.thespruce.com/triostar-stromanthe-plant-profile-5069126","Positioning your triostar stromanthe in an area with dappled light will provide it with the best chance of flourishing. If it receives too much direct sun, it can burn the leaves. As a houseplant, dust its leaves so the plant can receive more light.","","","","",""
"1667986054-17698","https://www.thespruce.com/plants-a-to-z-5116344","Stromanthe Triostar Stromanthe sanguinea","https://www.thespruce.com/triostar-stromanthe-plant-profile-5069126","","Positioning your triostar stromanthe in an area with dappled light will provide it with the best chance of flourishing. If it receives too much direct sun, it can burn the leaves. As a houseplant, dust its leaves so the plant can receive more light.","","","",""
"1667986054-17699","https://www.thespruce.com/plants-a-to-z-5116344","Stromanthe Triostar Stromanthe sanguinea","https://www.thespruce.com/triostar-stromanthe-plant-profile-5069126","","","Your triostar needs a soil that is well-draining, breathable, and light. Although it needs to retain moisture, it shouldn't be too heavy or claggy.","","",""
"1667986054-17700","https://www.thespruce.com/plants-a-to-z-5116344","Stromanthe Triostar Stromanthe sanguinea","https://www.thespruce.com/triostar-stromanthe-plant-profile-5069126","","","","Ensuring your triostar gets a consistent and appropriate amount of water is vital. Get this wrong, and the plant can quickly become unhealthy looking.","",""
"1667986056-17701","https://www.thespruce.com/plants-a-to-z-5116344","String Of Turtles Peperomia prostrata","https://www.thespruce.com/growing-string-of-turtles-5091591","","","","Avoid overwatering by drenching the soil till water runs out the bottom of the pot, and the soil is thoroughly moist. Do not water the plant again until the top two inches of soil have dried out.","",""
"1667986056-17702","https://www.thespruce.com/plants-a-to-z-5116344","String Of Turtles Peperomia prostrata","https://www.thespruce.com/growing-string-of-turtles-5091591","","","","","This plant prefers cooler, more humid temperatures over the warmer temperatures most succulent fans have come to expect. Keep your string of turtles plant in a consistent temperature environment that ranges from 68 to 75 degrees Fahrenheit. It does not like cold temperatures, so avoid placing it near exterior doors or drafty windows, and if you've placed it outside during the summer, make sure to bring it inside before temperatures turn chilly. During drier summer months or when a heater is running during the winter, you may want to use a mister or humidifier to increase humidity around the plant, as long as care is taken to ensure that the leaves are not left wet.",""
"1667986059-17703","https://www.thespruce.com/plants-a-to-z-5116344","String Of Pearls Senecio rowleyanus","https://www.thespruce.com/grow-string-of-pearls-succulents-1902522","Any regular succulent potting soil is acceptable for your string of pearls plants, but sandy soil is best. A good choice for this plant is a cactus potting mix. Alternatively, you can use a three-to-one mixture of potting soil to sharp sand. These plants are susceptible to root rot, so make sure their soil is well-draining.3 Plant them in a container that boasts ample drainage holes at its base. Terra cotta or clay pots can also help wick away excess moisture from the soil.","","","","",""
"1667986059-17704","https://www.thespruce.com/plants-a-to-z-5116344","String Of Pearls Senecio rowleyanus","https://www.thespruce.com/grow-string-of-pearls-succulents-1902522","","Any regular succulent potting soil is acceptable for your string of pearls plants, but sandy soil is best. A good choice for this plant is a cactus potting mix. Alternatively, you can use a three-to-one mixture of potting soil to sharp sand. These plants are susceptible to root rot, so make sure their soil is well-draining.3 Plant them in a container that boasts ample drainage holes at its base. Terra cotta or clay pots can also help wick away excess moisture from the soil.","","","",""
"1667986059-17705","https://www.thespruce.com/plants-a-to-z-5116344","String Of Pearls Senecio rowleyanus","https://www.thespruce.com/grow-string-of-pearls-succulents-1902522","","","Keep the plant's soil lightly moist during the growing season in the spring and summer, then reduce water during the winter months. If you notice the succulent's spherical leaves flattening, it's a good indicator that the plant needs more water. You will likely need to water your plant once every seven to 14 days. Plants in hotter climates, outdoors during the summer, or in porous terra cotta pots might need water closer to every seven days, all depending on rain frequency and temperatures. If the soil is dry to the touch down to the first one-half inch of soil, that's a good sign your plant is thirsty.","","",""
"1667986064-17706","https://www.thespruce.com/plants-a-to-z-5116344","String Of Hearts Ceropegia woodii","https://www.thespruce.com/growing-string-of-heart-plants-5086828","Positioning your string of hearts plant somewhere that it will receive bright, but dappled, filtered sunlight will see the best results in terms of growth and flower production.","","","","",""
"1667986064-17707","https://www.thespruce.com/plants-a-to-z-5116344","String Of Hearts Ceropegia woodii","https://www.thespruce.com/growing-string-of-heart-plants-5086828","","Positioning your string of hearts plant somewhere that it will receive bright, but dappled, filtered sunlight will see the best results in terms of growth and flower production.","","","",""
"1667986064-17708","https://www.thespruce.com/plants-a-to-z-5116344","String Of Hearts Ceropegia woodii","https://www.thespruce.com/growing-string-of-heart-plants-5086828","","","String of heart plants thrive in well-drained cacti potting mixes. Although they appreciate decent fertility, if the mix is overly rich, the plants can become straggly-looking.","","",""
"1667986067-17709","https://www.thespruce.com/plants-a-to-z-5116344","String Of Dolphins Senecio peregrinus","https://www.thespruce.com/growing-string-of-dolphins-5089406","","","","Allow the soil to dry thoroughly between waterings to avoid root rot, and then water well. Cut back on watering during the fall and winter months when the plant goes into dormancy.","",""
"1667986067-17710","https://www.thespruce.com/plants-a-to-z-5116344","String Of Dolphins Senecio peregrinus","https://www.thespruce.com/growing-string-of-dolphins-5089406","","","","","String of dolphins grows well in average household temperatures and humidity levels when grown indoors. Interestingly, while these plants are not frost-tolerant, they tend to prefer cooler temperatures than the average succulent. They tolerate winter temperatures as low as 40 degrees Fahrenheit (4 degrees Celsius).",""
"1667986069-17711","https://www.thespruce.com/plants-a-to-z-5116344","String Of Buttons Crassula perforata","https://www.thespruce.com/growing-string-of-buttons-5091592","","","","","You don't have to water Crassula perforata often. Only water again when the soil is fully dry and not before. Following this cycle will help keep the plant from being overwatered.",""
"1667986078-17712","https://www.thespruce.com/plants-a-to-z-5116344","String Bean Phaseolus vulgaris","https://www.thespruce.com/how-to-grow-green-beans-1403459","Beans need full sun for the best yield. Full sun also helps to keep the plants dry and less likely to be affected by certain issues, such as fungal diseases.","","","","",""
"1667986078-17713","https://www.thespruce.com/plants-a-to-z-5116344","String Bean Phaseolus vulgaris","https://www.thespruce.com/how-to-grow-green-beans-1403459","","Beans need full sun for the best yield. Full sun also helps to keep the plants dry and less likely to be affected by certain issues, such as fungal diseases.","","","",""
"1667986078-17714","https://www.thespruce.com/plants-a-to-z-5116344","String Bean Phaseolus vulgaris","https://www.thespruce.com/how-to-grow-green-beans-1403459","","","Beans like organically rich loamy soil with a slightly acidic pH. Good soil drainage also is key. Remove weeds prior to planting to prevent competition for soil nutrients and moisture. As the beans grow, weed carefully around the plants, as their shallow roots can be easily damaged.","","",""
"1667986078-17715","https://www.thespruce.com/plants-a-to-z-5116344","String Bean Phaseolus vulgaris","https://www.thespruce.com/how-to-grow-green-beans-1403459","","","","Common beans need 1 inch of water per week. Use a drip irrigation system for supplemental watering to avoid splashing soil onto the leaves, which can lead to soil-borne diseases. To determine whether the plants need water, stick your finger about 1 inch into the soil near the base of the plant. If the soil is dry, it's time to water. Plants that are underwatered will stop flowering. Beans have shallow roots, and mulching can help to keep them cool and preserve moisture in the soil.","",""
"1667986078-17716","https://www.thespruce.com/plants-a-to-z-5116344","String Bean Phaseolus vulgaris","https://www.thespruce.com/how-to-grow-green-beans-1403459","","","","","Common beans germinate best when the soil temperature is between 70 and 80 degrees. If the soil temperature is below 60 degrees, seeds will germinate more slowly and are susceptible to rot. The plants grow best when the air temperature is between 65 and 85 degrees. Beans tend to stop flowering in the extreme heat of summer. But keep them well-watered, and they will resume flowering and production when temperatures cool. Moreover, common beans grow in all humidity conditions if properly watered.",""
"1667986084-17717","https://www.thespruce.com/plants-a-to-z-5116344","Strawberry Vanilla Hydrangea Hydrangea paniculata 'Renhy'","https://www.thespruce.com/how-to-grow-and-care-for-strawberry-vanilla-hydrangea-5073914","","","","","Withhold all fertilizer after late July, as this allows the shrub to move toward winter dormancy.",""
"1667986087-17718","https://www.thespruce.com/plants-a-to-z-5116344","Strawberry Begonia Saxifraga stolonifera","https://www.thespruce.com/grow-saxifraga-stolonifera-indoors-1902652","These plants are fast growers and like a lot of water during their growing season. As with other hairy-leaved plants, avoid getting water on your strawberry begonia's leaves to reduce the risk of fungal diseases. Water your plant once the top two or three inches of the soil have dried out, and saturate the plant until water runs from the drainage holes in the base. During winter, reduce your watering cadence, but don't let your plant dry out completely.","","","","",""
"1667986087-17719","https://www.thespruce.com/plants-a-to-z-5116344","Strawberry Begonia Saxifraga stolonifera","https://www.thespruce.com/grow-saxifraga-stolonifera-indoors-1902652","","These plants are fast growers and like a lot of water during their growing season. As with other hairy-leaved plants, avoid getting water on your strawberry begonia's leaves to reduce the risk of fungal diseases. Water your plant once the top two or three inches of the soil have dried out, and saturate the plant until water runs from the drainage holes in the base. During winter, reduce your watering cadence, but don't let your plant dry out completely.","","","",""
"1667986087-17720","https://www.thespruce.com/plants-a-to-z-5116344","Strawberry Begonia Saxifraga stolonifera","https://www.thespruce.com/grow-saxifraga-stolonifera-indoors-1902652","","","Strawberry begonia plants prefer to be cool rather than hot; in order for your plant to thrive, aim to keep its surrounding environment between 50 degrees Fahrenheit and 75 degrees Fahrenheit. Your plant will not thrive if it's hot, so be sure to move your begonia to a cooler space. When it comes to humidity, strawberry begonia plants can thrive in moderate to high humidity, but will not need most average levels increased in the home.","","",""
"1667986087-17721","https://www.thespruce.com/plants-a-to-z-5116344","Strawberry Begonia Saxifraga stolonifera","https://www.thespruce.com/grow-saxifraga-stolonifera-indoors-1902652","","","","Feed weekly during the growing season with a weak liquid fertilizer that includes micronutrients and encourages blooming. Controlled release fertilizer pellets are also excellent.","",""
"1667986087-17722","https://www.thespruce.com/plants-a-to-z-5116344","Strawberry Begonia Saxifraga stolonifera","https://www.thespruce.com/grow-saxifraga-stolonifera-indoors-1902652","","","","","The strawberry begonia is the most common of the saxifraga. The 'Tricolor' variety is slightly smaller and has a creamy halo around the leaf margins. They're a bit more difficult to grow and require more careful attention to watering and temperature. Although both these varietals are similar in appearance to begonia, they are not actually begonias.",""
"1667986101-17723","https://www.thespruce.com/plants-a-to-z-5116344","Stargazer Lily Lilium 'stargazer'","https://www.thespruce.com/stargazer-lily-care-and-growing-tips-2132116","","","","","'Stargazer' prefers to have its leaves and stems in full sun, but the bulbs kept cool. Planting them among other plants that shade the ground or covering the ground with thick mulch will help keep the bulbs cool.",""
"1667986104-17724","https://www.thespruce.com/plants-a-to-z-5116344","Starfruit Averrhoa carambola","https://www.thespruce.com/starfruit-tree-plant-profile-5191259","This tree needs plenty of bright sunlight to flourish—at least 7 hours of direct sun per day. If growing in a container and overwintering indoors, make sure it has a sunny window and the tree is turned occasionally to give it full exposure on all sides.","","","","",""
"1667986104-17725","https://www.thespruce.com/plants-a-to-z-5116344","Starfruit Averrhoa carambola","https://www.thespruce.com/starfruit-tree-plant-profile-5191259","","This tree needs plenty of bright sunlight to flourish—at least 7 hours of direct sun per day. If growing in a container and overwintering indoors, make sure it has a sunny window and the tree is turned occasionally to give it full exposure on all sides.","","","",""
"1667986104-17726","https://www.thespruce.com/plants-a-to-z-5116344","Starfruit Averrhoa carambola","https://www.thespruce.com/starfruit-tree-plant-profile-5191259","","","Water your starfruit tree regularly. Starfruit trees are not tolerant of drought3. However, heavy consistent rain or overwatering may inhibit fruit production.","","",""
"1667986104-17727","https://www.thespruce.com/plants-a-to-z-5116344","Starfruit Averrhoa carambola","https://www.thespruce.com/starfruit-tree-plant-profile-5191259","","","","The starfruit tree is tropical and can't survive in a region where temperatures dip below freezing. However, it can be grown in containers in colder zones if it is moved indoors for winter into a greenhouse or sunny room. It needs temperatures of at least 60 degrees consistently in spring months to set fruit and does best with temperatures over 70 throughout the summer. Being tropical it also responds well to humidity. If your growing area is dry, misting the tree with cool water regularly (at least once or twice a week) keeps the leaves looking lush.","",""
"1667986104-17728","https://www.thespruce.com/plants-a-to-z-5116344","Starfruit Averrhoa carambola","https://www.thespruce.com/starfruit-tree-plant-profile-5191259","","","","","Prune the tree lightly in early spring to keep it looking neat and encourage the balanced placement of fruiting branches. If the branches bend under the weight of the fruit, this is a sign that it needs pruning.",""
"1667986109-17729","https://www.thespruce.com/plants-a-to-z-5116344","Staghorn Fern Platycerium bifurcatum","https://www.thespruce.com/grow-platycerium-species-1902725","","","","","To increase the humidity around your plant, try placing it in one of the more naturally humid areas of your home, such as the bathroom or kitchen. If that doesn't work, increase the humidity around the plant by using a small-scale humidifier or spritzing the plant periodically.",""
"1667986111-17730","https://www.thespruce.com/plants-a-to-z-5116344","St. John's Wort Hypericum perforatum","https://www.thespruce.com/st-johns-wort-plant-profile-4772327","Although the plant prefers a well-drained soil, it will tolerate compacted ground.","","","","",""
"1667986111-17731","https://www.thespruce.com/plants-a-to-z-5116344","St. John's Wort Hypericum perforatum","https://www.thespruce.com/st-johns-wort-plant-profile-4772327","","Although the plant prefers a well-drained soil, it will tolerate compacted ground.","","","",""
"1667986111-17732","https://www.thespruce.com/plants-a-to-z-5116344","St. John's Wort Hypericum perforatum","https://www.thespruce.com/st-johns-wort-plant-profile-4772327","","","Keep this perennial well-irrigated when you are first trying to establish it. Once mature, it is reasonably drought-tolerant.","","",""
"1667986111-17733","https://www.thespruce.com/plants-a-to-z-5116344","St. John's Wort Hypericum perforatum","https://www.thespruce.com/st-johns-wort-plant-profile-4772327","","","","St. John's wort performs best in fertile soils, although it tolerates poor soils. Amend its soil with compost annually for best results.","",""
"1667986111-17734","https://www.thespruce.com/plants-a-to-z-5116344","St. John's Wort Hypericum perforatum","https://www.thespruce.com/st-johns-wort-plant-profile-4772327","","","","","St. John's wort does have some beautiful ornamental features. Its flowers are not only a bright yellow color, but they also sport showy stamens (the long, slender flower parts that carry pollen). Nonetheless, Hypericum perforatum is not the most ornamental member of its genus for use in the landscape. The Hypericum genus has cultivars and shrubby species that are prettier, including:",""
"1667986114-17735","https://www.thespruce.com/plants-a-to-z-5116344","St. Augustine Grass Stenotaphrum secundatum","https://www.thespruce.com/st-augustine-grass-care-guide-5199869","St. Augustine grass handles heat and humidity well, which is why it is popular in regions such as the American Southeast.","","","","",""
"1667986114-17736","https://www.thespruce.com/plants-a-to-z-5116344","St. Augustine Grass Stenotaphrum secundatum","https://www.thespruce.com/st-augustine-grass-care-guide-5199869","","St. Augustine grass handles heat and humidity well, which is why it is popular in regions such as the American Southeast.","","","",""
"1667986114-17737","https://www.thespruce.com/plants-a-to-z-5116344","St. Augustine Grass Stenotaphrum secundatum","https://www.thespruce.com/st-augustine-grass-care-guide-5199869","","","St. Augustine grass performs best if fertilized regularly, on a schedule. Fertilize it initially in spring after it has finished greening up. During the summer, maintain a fertilizing schedule such that you feed it every 6 to 8 weeks. Any all-purpose grass fertilizer will be sufficient, but be careful to follow the application instructions on the package.","","",""
"1667986114-17738","https://www.thespruce.com/plants-a-to-z-5116344","St. Augustine Grass Stenotaphrum secundatum","https://www.thespruce.com/st-augustine-grass-care-guide-5199869","","","","There are a number of different types of St. Augustine grass. Examples include:","",""
"1667986117-17739","https://www.thespruce.com/plants-a-to-z-5116344","Squirting cucumber Ecballium elaterium","https://www.thespruce.com/squirting-cucumber-plant-profile-5116333","Squirting cucumber grows best in rich soil, but it has excellent tolerance for poor, even rocky soils. It is often found growing wild in areas with very poor, disturbed soils, such as construction sites. These plants are not picky when it comes to soil pH, doing equally well in mildly acidic, neutral, or mildly alkaline soils.","","","","",""
"1667986117-17740","https://www.thespruce.com/plants-a-to-z-5116344","Squirting cucumber Ecballium elaterium","https://www.thespruce.com/squirting-cucumber-plant-profile-5116333","","Squirting cucumber grows best in rich soil, but it has excellent tolerance for poor, even rocky soils. It is often found growing wild in areas with very poor, disturbed soils, such as construction sites. These plants are not picky when it comes to soil pH, doing equally well in mildly acidic, neutral, or mildly alkaline soils.","","","",""
"1667986117-17741","https://www.thespruce.com/plants-a-to-z-5116344","Squirting cucumber Ecballium elaterium","https://www.thespruce.com/squirting-cucumber-plant-profile-5116333","","","This plant has average to low water needs. It will thrive on the typical ""one inch per week"" rule. It does not mind short periods of drought, such as is common in its native Mediterranean habitat. In areas that get some rainfall every week or two, additional watering is not necessary.","","",""
"1667986117-17742","https://www.thespruce.com/plants-a-to-z-5116344","Squirting cucumber Ecballium elaterium","https://www.thespruce.com/squirting-cucumber-plant-profile-5116333","","","","This unique plant is native to the Mediterranean and it thrives as a perennial in USDA hardiness zones 9 to 11. Squirting cucumber prefers dryish air, and humid winters may kill the plant. High humidity may cause fungal diseases.","",""
"1667986117-17743","https://www.thespruce.com/plants-a-to-z-5116344","Squirting cucumber Ecballium elaterium","https://www.thespruce.com/squirting-cucumber-plant-profile-5116333","","","","","No feeding is necessary for this plant unless the soil is extremely barren.",""
"1667986120-17744","https://www.thespruce.com/plants-a-to-z-5116344","Squirrel Corn Dicentra canadensis","https://www.thespruce.com/how-to-grow-and-care-for-squirrel-corn-plant-5077070","Squirrel corn is a spring ephemeral that must be kept moist during the spring active growing season but can be allowed to go dry as the hot months of summer begin. If rainfall is not plentiful in spring, make sure it gets at least 1 inch of irrigation per week, best delivered in smaller waterings spaced a few days apart. Do not, however, let the roots soak in permanently soggy soil.","","","","",""
"1667986120-17745","https://www.thespruce.com/plants-a-to-z-5116344","Squirrel Corn Dicentra canadensis","https://www.thespruce.com/how-to-grow-and-care-for-squirrel-corn-plant-5077070","","Squirrel corn is a spring ephemeral that must be kept moist during the spring active growing season but can be allowed to go dry as the hot months of summer begin. If rainfall is not plentiful in spring, make sure it gets at least 1 inch of irrigation per week, best delivered in smaller waterings spaced a few days apart. Do not, however, let the roots soak in permanently soggy soil.","","","",""
"1667986120-17746","https://www.thespruce.com/plants-a-to-z-5116344","Squirrel Corn Dicentra canadensis","https://www.thespruce.com/how-to-grow-and-care-for-squirrel-corn-plant-5077070","","","In decently fertile soil, squirrel corn will do nicely if you simply amend each year with a good amount of compost dug into the soil. Additional feeding is needed only in very barren soils.","","",""
"1667986120-17747","https://www.thespruce.com/plants-a-to-z-5116344","Squirrel Corn Dicentra canadensis","https://www.thespruce.com/how-to-grow-and-care-for-squirrel-corn-plant-5077070","","","","Squirrel corn (Dicentra canadensis) is a native North American wildflower, and there are no additional named cultivars offered in the trade. However, there are several other Dicentra species native to North America that wildflower enthusiasts sometimes grow:","",""
"1667986125-17748","https://www.thespruce.com/plants-a-to-z-5116344","Spotted Dead Nettles Lamium maculatum","https://www.thespruce.com/spotted-dead-nettles-2132591","","","","","","Carefully dig up the entire plant.Using a knife, divide it into sections.Replant them in a suitable location, and water."
"1667986125-17749","https://www.thespruce.com/plants-a-to-z-5116344","Spotted Dead Nettles Lamium maculatum","https://www.thespruce.com/spotted-dead-nettles-2132591","","","","","","Select a branch and cut it off the plant.Take leaves off at least half of the bottom portion of the branch.Push the bare part of the branch into the soil at the desired location and water."
"1667986134-17750","https://www.thespruce.com/plants-a-to-z-5116344","Split-Leaf Philodendron Monstera deliciosa","https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671","Outdoors, the Swiss cheese plant can grow in the full shade of deep woodlands and semi-shade of light woodlands.","","","","",""
"1667986134-17751","https://www.thespruce.com/plants-a-to-z-5116344","Split-Leaf Philodendron Monstera deliciosa","https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671","","Outdoors, the Swiss cheese plant can grow in the full shade of deep woodlands and semi-shade of light woodlands.","","","",""
"1667986134-17752","https://www.thespruce.com/plants-a-to-z-5116344","Split-Leaf Philodendron Monstera deliciosa","https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671","","","When established in a container, it requires peat-based potting media. Outdoors, it is suitable for light sandy, medium loamy, and heavy clay soils with acid or neutral pH. Even so, it thrives most in well-drained, moderately moist soil.","","",""
"1667986134-17753","https://www.thespruce.com/plants-a-to-z-5116344","Split-Leaf Philodendron Monstera deliciosa","https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671","","","","Give the plant regular waterings during the growing season every one to two weeks. Water until excess drains through drainage holes. Do not put the excess water back into the plant's container because the plant has taken all the water it needs. The soil will need to dry out slightly in between waterings. Water only occasionally in fall and winter. To increase humidity indoors, mist the foliage using a spray bottle of demineralized water or rainwater.","",""
"1667986134-17754","https://www.thespruce.com/plants-a-to-z-5116344","Split-Leaf Philodendron Monstera deliciosa","https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671","","","","","Choose a balanced liquid 20-20-20 fertilizer to feed the plant every few weeks during the growing season. Dilute 1/2 teaspoon of the fertilizer in a gallon of water. Use the diluted fertilizer in place of a regular watering. Pour the mixture into the soil until it begins to flow out of the drainage holes. Throw out the excess diluted fertilizer because the plant has taken what it needs and cannot use the extra that it drains off.",""
"1667986134-17755","https://www.thespruce.com/plants-a-to-z-5116344","Split-Leaf Philodendron Monstera deliciosa","https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671","","","","","","Find a stem with a couple of nodes (where the roots will grow). Or, find a leaf that is growing out of a stem and has a short aerial root below it.Cut a small notch about 1/3 of the stem's width, just below that root.Wrap a 1-inch layer of sphagnum moss around the point where the leaf joins the stem.Spray the moss with water to increase moisture and wrap it in plastic. Use twist ties to secure it (it may look a little messy, which is okay).Ensure the moss can remain moist until the roots develop.When roots develop in a few months, you can cut (with a clean, sharp tool) the stem below the roots and establish the young plant, with its roots, in a fresh pot of soil.Don't forget to pat ground cinnamon on the wound created on the mother plant. This will stop any disease from entering the cut and help the wound heal."
"1667986134-17756","https://www.thespruce.com/plants-a-to-z-5116344","Split-Leaf Philodendron Monstera deliciosa","https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671","","","","","","Fill the bottom third of a pot with peaty potting soil.Establish a stake gently for the stem to climb on.Set the roots into the container. Fill with soil around the roots.Firmly surround the stake with soil and use plant ties to attach the stem to the stake."
"1667986140-17757","https://www.thespruce.com/plants-a-to-z-5116344","Spiral Ginger Costus woodsonii","https://www.thespruce.com/red-button-ginger-plant-profile-5070527","","","","","","You will need a potting container, sharp knife, moist potting soil, running water, flat surface, and garden fork (optional, for inground plants).Upend the container to remove the root ball from the container. Or, if the plant is growing in the ground ground, use a garden fork to loosen the soil around the plant . In combination with the garden fork and your hands, gently pull up the rhizomatous root ball; it might be growing to a depth of six inches. Or, if you notice offshoots growing along the plant base, gently separate the shoot from the parent plant. It should have its own rhizome.Using a hose or faucet, wash away the soil. Using a sterilized knife, cleanly cut through the root system. Ensure each portion has several eyes with roots. Cut away and discard any dark brown or black rhizomes or roots. Allow the cut ends to dry out for a day, laying flat. Also, if using an offshoot, wash it off and allow it to dry out for a day.Replant each divided portion of the offshoot in moist potting or garden soil"
"1667986140-17758","https://www.thespruce.com/plants-a-to-z-5116344","Spiral Ginger Costus woodsonii","https://www.thespruce.com/red-button-ginger-plant-profile-5070527","","","","","","You will need a moistened seed-starting mix or a soilless, moisture-retaining medium to sow red button ginger seeds.Soak the seeds in room temperature water overnight.Pack the germination container within 1/2 inch of the rim.Push the seed into the top layer of the potting medium and sprinkle a thin layer of the seed-starting mix on top, just covering the seed.Finely mist the germination container and place a clear plastic wrap or bag to create a moist environment.Put the container in a warm, bright spot (not direct sun). You can use a heating mat to keep the soil temperature around 70 degrees Fahrenheit. Germination can take up from two to six weeks.Remove the plastic wrap for about an hour each day to circulate air, but make sure the potting medium stays moistened. Remove the plastic wrap entirely when you see any signs of new growth."
"1667986142-17759","https://www.thespruce.com/plants-a-to-z-5116344","Spiral Aloe Aloe Polyphylla","https://www.thespruce.com/spiral-aloe-guide-5191042","","","","Ensure that the soil has dried out thoroughly between watering, and cut back on watering in the fall and winter months. If you live in a region that experiences frequent rainfall and you are hoping to grow the spiral aloe outdoors, growing it in a container that can be moved indoors and protected from the rain is probably a good idea.","",""
"1667986142-17760","https://www.thespruce.com/plants-a-to-z-5116344","Spiral Aloe Aloe Polyphylla","https://www.thespruce.com/spiral-aloe-guide-5191042","","","","","The spiral aloe is not cold-hardy and also does not tolerate extreme heat. Ensure that this succulent is not exposed to prolonged periods of freezing temperatures, and protect it from temperatures higher than 80 degrees Fahrenheit (27 degrees Celsius).",""
"1667986145-17761","https://www.thespruce.com/plants-a-to-z-5116344","Spineless Yucca Yucca elephantipes","https://www.thespruce.com/spineless-yucca-plant-profile-5158420","The spineless yucca does best in full sunshine. If grown indoors, the more sunlight you can provide, the better this plant will fare. They can tolerate some shade, but too much shade might cause foliage to turn brown or stretch and take on a leggy appearance.","","","","",""
