commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
Spinacia oleracea,Spinach,Amaranthaceae,"Annual, vegetable",6–12 in. tall and wide,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral, alkaline (6.5 to 8)",2–11 (USDA),"North America, Central America, South America, Asia",https://www.thespruce.com/thmb/NCmf3ydOZH6qfXiKqK57I2q-72M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/red-button-ginger-plant-profile-5070527-hero-f486579816b74edb9730e0fc58a71bd8.jpg,Spinach Spinacia oleracea.json,6–12 in. tall and wide,Summer,,
Morel mushrooms,Morchella spp.,,Sac fungi (mushroom),2 to 12 inches,Shade,Well-draining loam,Slightly acidic to neutral (6.8 to 7.0),4–9,Forested areas throughout the Northern hemisphere,https://www.thespruce.com/thmb/lQIZWpW1ul7E-8YF12At5vr8dcw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-morning-glories-4125567-01-4a87ac9a046945bf85c69b5fc85a4b2e.jpg,Morel Mushrooms Morchella.json,2 to 12 inches,,,
"Jackman's clematis, Jackman clematis, Jackman virgin's bower",Clematis 'Jackmanii',Ranunculaceae,Vine,,"Full, partial",Moist but well-drained,Neutral,4-8 (USDA),"Cultivar, no native range",https://www.thespruce.com/thmb/SnegdOypLOu0VlltlSRCCGbgZVk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-jade-plants-indoors-1902981-04-257462b8baf44352b881336423291f60.jpg,Jackman Clematis Clematis 'jackmanii'.json,7-15 ft. long,Summer,"Blue, purple",
"Climbing Sea Onion, Climbing Onion, Sea Onion​, Zulu Potato, Climbing Potato",Bowiea volubilis,Asparagaceae,"Bulb, vine, succulent",,"Full, partial","Silt, well-drained","Acidic, neutral (5.0-7.0)","10, 11",Africa,https://www.thespruce.com/thmb/VQE8h-ghSH55tfj5hr_OpHI83Fc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1250008373-ebc4f8206ecd43e6a8d629316492de9d.jpg,Climbing Onion Bowiea volubilis.json,"2 ft. tall, 4 to 8 in. wide","Winter, spring","Green, yellow, white",
"Purple leaf sand cherry, plum leaf sand cherry",Prunus x cistena,Rosaceae,Shrub,,Full,"Moist, well-drained","Acidic, neutral",2–8 (USDA),North America,https://www.thespruce.com/thmb/FShOt3K1DixYWW_JFvQYCYrG0y8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/fall-foliage-of-quaking-aspen-trees-2130926-hero-3b0841fb95104b328099b028b78921f3.jpg,Purpleleaf Sand Cherry Prunus x cistena.json,"6–10 ft. tall, 5–8 ft. wide",Spring,"Pink, white",
"White lace flower, Minoan lacea",Orlaya grandiflora,Apiaceae,Herbaceous annual,,"Full, partial",Moist but well-drained,Acidic to alkaline (6.0 to 8.0),2-11 (true annual),Europe,https://www.thespruce.com/thmb/ZwHXPxKkvMDBeT7HR-uewv-Ivro=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1155011935-6e1a70ef208c4a7a954193bbd7baba47.jpg,White Lace Flower Orlaya grandiflora.json,"2–3 ft. tall, 1 ft. wide","Summer, fall",White,
Stella d'Oro daylily,Hemerocallis 'Stella d'Oro',Hemerocallidaceae,Herbaceous perennial,,Full sun,"Moist, well-drained","Acidic, neutral, alkaline",3-10 (USDA),"Cultivar, no native range",https://www.thespruce.com/thmb/M79XfFUPHowfpaoD0wFU7SWdO2E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/strawberries-1402288-01-933434c6ad774271bb0522df82198b81.jpg,Stella Hemerocallis 'stella de oro'.json,"9-12 inches tall, 10-12 inches wide","Spring, summer",Golden yellow,
"Annual Phlox, Drummond Phlox, Pride-of-Texas",Phlox drummondii,,Annual,,"Full sun, partial shade",Moist but well-drained,Acidic,2–11 (USDA),North America,https://www.thespruce.com/thmb/ycYLFhPr3ZwvU2PH9O9ih-WaT78=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/thanksgiving-cactus-care-guide-5199419-hero-78a44308e21d40efa9b2f02dceabe8d3.jpg,Texas Pride Phlox drummondii.json,"6–12 in. tall, 6–12 in. wide","Spring, summer","Red, pink, purple, white",
"English Holly, common holly, European holly",Ilex aquifolium,Aquifoliaceae,Evergreen Tree or shrub,,Full sun to partial shade,Well-drained,Acidic to neutral,5-8 (USDA),"Western and southern Europe, northwest Africa, and southwest Asia",https://www.thespruce.com/thmb/_ANrYWnS3qhJv3-lE0DXDHnfLGI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/english-holly-plant-profile-5070521-hero-21bd3d05fa6448559b1564f895e1d5f9.JPG,English Holly Ilex aquifolium.json,30-50 ft. tall,Summer,Blue/lilac shades,Toxic to humans and pets
Rhubarb,Rheum rhabarbarum or Rheum × hybridum,Polygonaceae,"Vegetable, perennial",2–3 ft. tall; 3–4 ft. wide,"Full sun, partial sun","Moist, well-drained","Acidic, neutral (6.0–7.0)",3–8 (USDA),Asia,https://www.thespruce.com/thmb/vK9Fo60C8ABF6II2XHJCeg1bIiU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/robellini-palm-plant-profile-5191248-hero-0371be291a574102ad1209cdc9b2005d.jpg,Rhubarb Rheum rhabarbarum.json,2–3 ft. tall; 3–4 ft. wide,"Spring, summer",,Leaves are toxic to people and pets
"Wax Plant, Honey Plant",Hoya macrophylla or Hoya latifolia,Apocynaceae,"Perennial, Succulent, Vine",,"Full, Partial",Well-drained,"Acidic, Neutral",9-11 (USDA),Asia,https://www.thespruce.com/thmb/TKLqdLSXRTjdO_cjx4kpqGzXGao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-hyacinth-plants-1402248-03-571d970f763b4c22ab2a77676160ee97.jpg,Hoya Macrophylla Hoya macrophylla.json,Up to 6 ft. tall,Summer,White,
"Crown daisy, garland daisy, edible chrysanthemum, shingiku, tong hao",Glebionis coronaria,Asteraceae,Annual,,"Full sun, part shade","Sandy, clay, silt, loam, well-drained",Acidic to alkaline (6.1 to 7.8),"5-9, USA",Mediterranean,https://www.thespruce.com/thmb/3GLNBnstJN9FuDXpoKVn98KxQqA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/crown-daisy-growing-guide-5208714-hero-dd868aa25840409fb417a21199df17b6.jpg,Crown Daisy Glebionis coronaria.json,"2 to 4 ft. tall, 1 to 2 ft. wide",Summer,Yellow and white,
Horse chestnut tree,Aesculus hippocastanum,,Deciduous tree,,"Full sun, part sun","Moist, well-drained light, medium, and heavy soils",4.5-6.5,7-Apr,"Greece, Albania, Bulgaria",https://www.thespruce.com/thmb/PFIVtbcEwTuQym__mOMYE_w2yGc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/horsetail-plant-aggresively-spreading-weed-4125786-hero-8755049cf9764d6d8f2cd0408a32f826.JPG,Horse Chestnut Tree Aesculus hippocastanum.json,"50-75 feet high, 40-70 feet wide",April to June,White or pink,
"Owl eyes succulent, little owl eyes, lifesaver cactus, lifesaver plant, carrion flower, zebra-striped Huernia",Huernia zebrina,,Succulent,,Bright light - partial shade,Well-draining,6,,South Africa,https://www.thespruce.com/thmb/JCzGDrIVvGsYR0NeASX_GrGvV-w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-588390122-dd197d7927554ea7b104893e94c0bf1d.jpg,Carrion Flower Huernia zebrina.json,"6"" spread, 6-8"" in height",Summer,"Yellow, red, purple, white",
White clover,Trifolium repens,Fabaceae,Herbaceous perennial,,"Full, partial","Well-drained, moist",Acidic,3-10 (USDA),Europe,https://www.thespruce.com/thmb/5UWH9YpMMTzTSIXwV_Z-g9eXQM4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/white-mulberry-tree-growing-guide-5211966-hero-27eb4f82114e42eca9261d64d2e9b64b.jpg,White Clover Trifolium repens.json,"0.25-0.50 ft. tall, 1-1.50 ft. wide","Spring, summer",White,"Plant itself is non-toxic, contracts fungus toxic to horses"
"Lychee, litchi",Litchi chinensis,Sapindaceae,"Fruit, tree",,Full sun,"Moist, well-drained",Acidic,10–11 (USDA),Asia,https://www.thespruce.com/thmb/0fPK_TzNFJTEdlC73knMk3eT0j8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/tillandsia-aeranthos-bergeri-plant-care-5082023-hero-68af3346abd34dfeb5ef2d94f3476617.jpg,Lychee Litchi chinensis.json,"20–110 ft. tall, 30-50 ft. wide",Spring,"White, yellow, green",
"Liriope, lilygrass, big blue turflily (L. Muscari); creeping liriope, monkey grass (L. Spicata)",Liriope Spicata or L. Muscari,Asparagaceae,Herbaceous perennial,,"Full, partial","Well-draining, sandy",Acidic (6.0 to 7.0),4–10 (USDA),East and Southeast Asia,https://www.thespruce.com/thmb/hIEnL3M6m_v0rgDv5zMrlJozpPE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lisianthus-flowers-1315711-03-b3a40f576ac94894a98373be1b77b3fc.jpg,Liriope Liriope spicata.json,"9–18 in. tall, 12-24 in. spread",August to September,"Lavender, white",
"Mountain laurel, ivy bush, spoonwood, calico bush, American laurel",Kalmia latifolia,Ericaceae,Shrub,,Partial,"Moist, well-drained",Acidic,4a–9a (USDA),North America,https://www.thespruce.com/thmb/MPVFkqZL6-Gxca9K0rRSlUicMnE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-mulberry-trees-5077354-hero-08abce7b3c014cc7a204b5a01bf04d57.jpg,Mountain Laurel Kalmia latifolia.json,"5–15 ft. tall, 5–15 ft. wide",Spring,"Rose, pink, white","Toxic to people, toxic to pets"
Mask Flower,Alonsoa,,Annual/Perennial,,Full sun,"Well-drained, light, fertile",6.1-7.8,11-Sep,Central/western South America,https://www.thespruce.com/thmb/Tw6cxywDGj-ChVRIrp6HSZqXcHs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mastic-tree-growing-guide-5120679-hero-9a890123f5a44e03abff0cafc7e4fbcd.jpg,Mask Flower Alonsoa.json,24-30 inches,Summer/Early fall,Red/Orange,
Twinspur,Diascia spp.,Scrophulariaceae,"Perennial, annual, herbaceous",,"Full, partial",Well-drained,Acidic,9-11 (USDA),Africa,https://www.thespruce.com/thmb/nLC6H-ZK-NZTa6dXfDEjgTw7Sec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-valerian-5088230-hero-deab9283c37e4c25b35300b81c6caad4.jpg,Twinspur Diascia.json,"6-12 in. tall, 18 in. wide","Spring, fall","Pink, white, orange, red",
"Christmas cactus, holiday cactus, crab cactus",Schlumbergera x buckleyi,Cactaceae,"Succulent, cactus, perennial",,Partial,"Moist, well-drained, loamy","Neutral, acidic",10–12 (USDA),South America,https://www.thespruce.com/thmb/N7VHI8Wb6h1yd9ngrfH7bURhs2g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/hollyhock-alcea-growing-guide-5200999-hero-a91fc11a5dfd41a192fd4ce8d08e3f34.jpg,Holiday Cactus Schlumbergera truncata.json,"6–12 in. tall, 12–24 in. wide","Fall, winter","Pink, red, white, purple, orange",
"Chinese snowball, Chinese snowball viburnum",Viburnum macrocephalum 'Sterile',Adoxaceae,Deciduous shrub,,Full sun to partial shade,"Moist, well-draining",Slightly acidic to slightly alkaline (6.5–7.5),6-9 (USDA),Asia (China),https://www.thespruce.com/thmb/KQEWpgsiPteGuFg6bgXb_kJCOPg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chinese-snowball-viburnum-plant-profile-5069948-hero-8d13a05e2efe4ca881eeb7288c97aec7.JPG,Chinese Snowball Viburnum macrocephalum.json,"6–10 feet tall and wide, taller in warmer climates",Spring,White,
"Batik iris, Batik German iris, Batik bearded iris",Iris germanica 'Batik',,Herbaceous perennial,,Full sun,"Friable, evenly moist, and well-drained",Neutral,4 to 9,The eastern Mediterranean,https://www.thespruce.com/thmb/UKbGTqaSnJW6vJsXBSWtp3aHXQA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/batflowertaipei-8bb47c4813b2469eb4ecc748c277d562-5f4c9a6721cd4384af4a3cbd00c133d3.jpg,Batik Iris Iris germanica'batik'.json,24 inches in height,May,"Royal purple, with white blotches",
"Coppertips, montbretia",Crocosmia spp.,Iridaceae,Perennial grown from corms,,Full sun is preferred; partial sun is tolerated,Well-drained,Neutral,9-Jun,South Africa,https://www.thespruce.com/thmb/9uq40dZdrA5c6vq6iCyVfi-eHTI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-grafted-ruby-ball-cactus-1902604-HERO-6077451839534c4385d6db0ebe47d640.jpg,Montbretia Crocosmia.json,2-3 feet high,Summer,"Red, yellow, orange",
Camperdown elm,Ulmus glabra 'Camperdownii',,Annual or perennial,,Full to part sun,Moist and sandy,Alkaline,4 to 7,Scotland,https://www.thespruce.com/thmb/lkKoWMvehMiioPhY4NfPNw9z_MM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/camperdown-elm-plant-profile-5071063-hero-b2e9ea1444c84a9f8708f93e93d82a6d.jpg,Camperdown Elm Ulmus glabra 'camperdownii'.json,20-25 feet tall and 20-30 feet wide,March and April,Red,
Red Oak,Quercus rubra,Fagaceae,Deciduous tree,,"Full sun, partial shade","Fertile, Sandy, Dry, Well Draining",Acidic,"4-8, USDA",Eastern North America,https://www.thespruce.com/thmb/sdHbnWU2aGkA2OXpiAjoTU13wes=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-red-sunset-maple-5101163-hero-61f9583c55154e14ba95e8008f1ba77a.JPG,Red Oak Quercus rubra.json,50-75 ft. tall,May,Yellowish-Green,
"Bok choy, Chinese cabbage, bok choi, pac choy, pac choi",Brassica rapa var. chinensis,Chinese brassicas,Biennial vegetable (usually grown as annual),6-24 in tall.; 6- to 18-in. spread,"Full sun, part shade","Rich, well-drained",6.5 to 7.0 (slightly acid to neutral),2-11 (USDA),China,https://www.thespruce.com/thmb/1Tg_WsgUMiv4KDoVCBiy_T9nN3g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-bok-choy-4125560-07-432d0d29a9264d90ae1e9f34ed5fd7ec.jpg,Bok Choy Brassica rapa.json,6-24 in tall.; 6- to 18-in. spread,Summer,,
Green Giant Arborvitae,Thuja standishii x plicata ‘Green Giant’,Cupressaceae,Needled evergreen,,Full sun to part shade,"Fertile, well-drained clay or loamy","Acidic, Neutral, or Alkaline","5 to 8, USDA",Europe,https://www.thespruce.com/thmb/XI7lreCzP2mN7TE2WOGnpkZQxmI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-organic-ground-cherries-2539577-hero-67c86f5f7e934f01958016b30800caff.jpg,Green Giant Arborvitae Thuja standishii x plicata ‘Green Giant’.json,"40 to 60 ft. tall, 12 to 18 ft. wide",Non-flowering,Non-flowering,
"Melon cactus, Turk's cap cactus",Melocactus,Cactaceae,Cactus,,Full,"Sandy, well-drained","Acidic, neutral","10, 11","Central America, South America",https://www.thespruce.com/thmb/euHyM6HhzM9CbHPwwJnVGYdewqY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mexican-fleabane-plant-care-5082960-hero-9f6713d5a9b3453ba209bf44587db119.jpg,Melon Cactus Melocactus.json,"Up to 3 ft. tall, 1 ft. wide",Summer,"Pink, red",
"Euphorbia, spurge",Euphorbia spp.,Euphorbiaceae,"Herbaceous, perennial, succulent",,Full,"Sandy, well-drained","Neutral, acidic",5–11 (USDA),"Africa, Asia, North America, South America",https://www.thespruce.com/thmb/KWUEB_Z-cbvla4Ynk49jTyDqbVY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/eureka-lemon-trees-growing-guide-5078630-hero-d3fdd8dd4e464039b4eb0b8e1109b544.jpg,Euphorbia Euphorbia.json,"6–36 in. tall, 6–36 in. wide","Spring, summer","Yellow, red, pink, white","Toxic to humans, toxic to pets"
"Alpine currant, Mountain currant",Ribes alpinum,,Shrub,,Full sun,"Moist, well-drained",6.1 - 7.8,7-Feb,Central and Northern Europe,https://www.thespruce.com/thmb/_F42QJNeGdW1ip-rfB63P1th7O0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/alpine-currant-plant-profile-4842353-hero-93c830f2c8c44a32b6dcae777bdb3e42.JPG,Alpine Currant Ribes alpinum.json,"6 feet tall, 6 feet wide",Spring,Green-yellow,
"Sensitive plant, touch-me-not, sleepy plant",Mimosa pudica,Fabaceae,"Shrub, herbaceous, perennial, annual",,"Full, partial","Well-draining, loamy","Acidic, neutral",7–13 (USDA),"Central America, South America",https://www.thespruce.com/thmb/C5mHvMVr1t7ETt_XG-sgP0R5LHw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/sesameplants-a878130a044d420bad7916eb6f3ccdb1.jpg,Sensitive Plant Mimosa pudica.json,"18 in. tall, 1-5 ft. wide",Summer,"Purple, pink",
Baby's breath,Gypsophila,Caryophyllaceae,"Perennial, annual",,Full,Well-drained,Alkaline,3–9 (USDA),"Europe, Africa, Asia, Australia",https://www.thespruce.com/thmb/qGt2NkdGdVCieeofEC4sZR__27Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/baby-toes-succulents-profile-5181590-hero-6f9965cac18e456ab261355fb3c92a29.JPG,Baby's Breath Gypsophila.json,"2–3 ft. tall, 2–3 ft. wide",Summer,"White, pink","Toxic to people, toxic to pets"
Chinese holly,Ilex cornuta,Aquifoliaceae,"Shrub, tree",,"Full, partial","Moist, well-drained","Neutral, acidic",7-9 (USDA),Asia,https://www.thespruce.com/thmb/tSbAUoWg-VgQpB31AostM3omAbc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chinese-holly-plant-profile-4842106-06-a4177b5cecd24b3cb48ecdca1d64cf0e.jpg,Chinese Holly Ilex cornuta.json,"8-15 ft. tall, 8-15 ft. wide","Spring, summer",White,"Toxic to humans, toxic to pets"
Zinfin Doll hydrangea,Hydrangea paniculata 'Zinfin Doll',Hydrangeaceae,Shrub,,"Full, partial",Well-drained,Neutral to acidic,"3, 4, 5, 6, 7, 8",Asia,https://www.thespruce.com/thmb/oA9Bq1QgujDJeCQtI4_wifWVFU4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/abelia-growing-guide-5216289-hero-bcca3a9260ae44109c507904c233de62.jpg,Zinfin Doll Hydrangea Hydrangea paniculata 'SMNHPRZEP' Zinfin Doll.json,"4-6 ft. tall, and 4-6 ft. wide",Summer,"White, pink, red",
Lacebark pine,Pinus bungeana,Pinaceae,Evergreen tree,,Full,"Moist, well-drained","Neutral, acidic, alkaline",4-8 (USDA),Asia,https://www.thespruce.com/thmb/nDajiSaJ8ieuW52J5FTvfK3-70I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lady-ferns-plant-profile-5120209-hero-3c985b21a2354012a14b29c94626de45.jpg,Lacebark Pine Pinus bungeana.json,"30-50 ft. tall, 20-35 ft. wide",Summer,nan,
Peruvian lily; lily of the Incas; princess lily,Alstroemeria spp.,Alstroemeriaceae,Perennial,,"Full, partial",Well-drained,Acidic,7-10 (USDA),South America,https://www.thespruce.com/thmb/haEnb6RPFQ-g9kuxLMd3K7lT91A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/phalaenopsis-orchids-definition-1902866-01-6f299423133b471ca15a94ac2561d688.jpg,Peruvian Lily Alstroemeria.json,"1–3 ft. tall, 1–2 ft. wide",Summer,"Pink, orange, red, yellow, white, purple",Mildly toxic to people
Foxtail pine,Pinus balfouriana,,Evergreen,,"Full, partial","Loamy, Sandy, Well-drained",Acidic,"4-7, USA",North America,https://www.thespruce.com/thmb/8XeIoNrKRlZ_TwRJG4QS1Y4uids=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/frances-williams-hosta-landscaping-uses-care-4125603-hero-6c0b52c96bb045e380afec901ed2e231.jpg,Foxtail Pine Pinus balfouriana.json,"30-50 ft. tall, 10-15 ft. wide",Not applicable,Not applicable,
"Dwarf jade, elephant bush, miniature jade, small-leaf jade",Portulacaria afra,Didiereaceae,"Succulent evergreen shrub, houseplant",,"Full, partial","Cactus/succulent potting mix, or sandy, gravelly garden soil",Slightly acidic (5.6 to 6.5),9-11 (USDA),South Africa,https://www.thespruce.com/thmb/7hpXHhdYdbXT8PvdRSXP4vKCx2M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/dwarf-jade-plant-profile-5071605-2-b846e46fa5be4a9fa178118ee7bb2dcc.jpg,Elephant Bush Portulacaria afra.json,Up to 15 ft. tall as a native plant (but normally grown as a much smaller houseplant),Late spring to early summer (flowers are indistinct),"White, pink",
"Garden mum, garden chrysanthemum, hardy chrysanthemum, hardy mum, mum",Chrysanthemum spp.,Asteraceae (Compositae),"Herbaceous, perennial",,Full sun,"Moist, well-drained",Neutral to acidic (6.5 to 6.7),5 to 9,"Asia, Europe",https://www.thespruce.com/thmb/LVs-JqFLf7Zz4oRLUKDXVzxKy10=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-myrtus-communis-5089132_05-8a75020ca2cf47ffa9b6ea1b11b8bf31.jpg,Mum Chrysanthemum.json,4 to 36 in. tall and 12 to 36 in. wide (size varies depending on the variety),"Summer, fall","Red, Pink, Orange, Yellow, Green, Purple, Maroon, Bronze, White","Toxic to dogs, cats, horses"
"Jewelweed, orange jewelweed, spotted touch-me-not",Impatiens capensis,Balsaminaceae,Annual,,"Partial, shade",Moist,"Acidic, neutral",2–11 (USDA),North America,https://www.thespruce.com/thmb/sPT-l9lvgsA0H5W67SuwpRuV7Ic=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/johnny-jump-up-violas-plant-profile-5181650-hero-1aadb2254e36452da52f9ce2d1b52994.JPG,Jewelweed Impatiens capensis.json,"2–5 ft. tall, 1.5–2.5 ft. wide","Summer, fall","Orange, yellow",
'Red Sunset' maple,Acer rubrum 'Franksred',Sapindaceae,Deciduous tree,,"Full, partial","Rich, moist but well-drained",Acidic to slightly acidic (4.5 to 6.5),3–9 (USDA),Nursery cultivar; Acer rubrum is native to North America,https://www.thespruce.com/thmb/-gYiTFAX9_oqsMzWp5R93XV52Kg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/plant-fall-blooming-spider-lilies-1316043-hero-475192425da24e6f9b0e867b29b4bbe8.jpg,Red Sunset Maple Acer rubrum 'franksred'.json,"40–50 ft. tall, 30–40 ft. wide",Spring,"Red on the female, yellow on the male (not showy)",
"Purple passion vine, purple velvet plant",Gynura aurantiaca,Asteracaea,"Evergreen, herbaceous",,"Partial sun, morning sun","Well-draining, loose",Neutral,6-9 (USDA),"Java, Indonesia",https://www.thespruce.com/thmb/FCNqZwDcNSrwcck2uU2BPPCx2SI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/purple-waffle-plant-overview-4581371-hero-ee48986d4b47461799ed4cc7c171e5a0.JPG,Purple Passion Vine Gynura aurantiaca.json,"1-2 ft high, vines up to 5 ft long",Autumn,Yellow to orange,
"Lily magnolia, Mulan magnolia",Magnolia liliflora,,Deciduous shrub,,"Full sun, partial shade",Moist but well-drained,Acidic,5–8 (USDA),Asia,https://www.thespruce.com/thmb/1HUhJoI9ozKTmWcFm2twsEz2gls=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-japanese-maple-bonsai-5085314_02-d3f41f2a659e4d1ba5d1eb2b53978277.jpg,Japanese Magnolia Magnolia liliflora.json,"8–12 ft. tall, 8–12 ft. wide",Spring,"Pink, purple",
"Goutweed, cow parsley, ground elder",Aegopodium podagraria,,"Herbaceous, perennial",,"Full sun, partial shade, full shade",Well-drained,"Acid, neutral, alkaline",4-9 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/vAKRpG0-d0zbxo0Ch3woB1aWM40=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/star-of-bethlehem-plant-profile-4774326-hero-943e35e2dc3049b1b2baa110d5fa0e71.jpg,Goutweed Aegopodium podagraria.json,Flowering stems can grow to be up to 1m tall,Summer,White,
"Dutchman's breeches, Dutchman's britches, staggerweed",Dicentra cucullaria,Fumariaceae,"Herbaceous, perennial",,"Partial, full",Moist but well-drained,"Neutral, acidic",3–7 (USDA),North America,https://www.thespruce.com/thmb/xmP7MjaClKBalV6Ic_JAEQKnJQE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/taxonomy-of-dutchmans-breeches-2132950-hero-3444ea36a904484f9dadeecabd26e197.jpg,Dutchman's Breeches Dicentra cucullaria.json,"6–12 in. tall, 6–12 in. wide",Spring,"White, pink","Toxic to humans, dogs, and cats"
Papyrus,Cyperus papyrus,Cyperaceae,Perennial,,"Full, partial","Loamy, moist","Acidic, neutral, alkaline",9-10 (USDA),Africa,https://www.thespruce.com/thmb/svcrUiIa1F6j5t5cpWmpikT-FpU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-parrot-tulips-plants-5076460-01-5d5ae3b7631549d0be415ada4aee4cd6.jpg,Papyrus Cyperus papyrus.json,"5-8 ft. tall, 2-4 ft. wide",Summer,Greenish-brown,
"Manjula pothos, happy leaf pothos, HANSOTI14, jewel pothos",Epipremnum aureum ‘HANSOTI14’,Araceae,"Perennial, vine",,Partial,"Loamy, moist but well-drained",Acidic,"11a, 11b, 12a, 12b",Australia,https://www.thespruce.com/thmb/D3Z5sydCd-QkoX0gewYBr7F-UfU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/marble-queen-pothos-plant-profile-5206131-hero-19b8dca0cf9e407b87a6f93e50054ed3.jpg,Manjula Pothos Epipremnum aureum ‘HANSOTI14’.json,"6 ft long, 3 ft wide (indoors)",,,"Toxic to cats, toxic to dogs"
"Prickly pear, Eastern prickly pear, devil's tongue",Opuntia humifusa,Cactaceae,Cactus,,Full sun,"Sandy, well-drained",Neutral to acidic,4a - 9a,North America,https://www.thespruce.com/thmb/FcFWHgJ1p7HRP2YvPBttE1WB03o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-primrose-primula-indoors-1902603-9-5d6375dc56c8492aa051c05b39f88d65.jpg,Prickly Pear Opuntia compressa.json,"6–12 in. tall, 12–18 in. wide",Summer,"Yellow, some with red or orange centers",
Franklin Tree,Franklinia alatamaha,,Tree,,Full Sun to Part Shade,"Rich Organic, Moist but well drained",Acidic,5 to 8,"Extinct in the wild, was Southeast Georgia",https://www.thespruce.com/thmb/D77wLkc-VBCbA_QDG80fffoiC3M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/french-lavender-growing-guide-5194430-hero-817e5b2952d34289b6fbc37fcfc27f9a.jpg,Franklin Tree Franklinia alatamaha.json,"10-20 feet tall, 6-15 feet wide",Late July to Early September,White,
